date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,team1_odds,team2_odds,game_time_seconds,game_time_minutes
2023-04-20,DPC SA 2023 Tour 2: Division II,41855,1,83180,Dreamers Esports,x5 Gaming,Zeus|Anti-Mage|Primal Beast|Treant Protector|Death Prophet,Broodmother|Snapfire|Shadow Fiend|Pangolier|Undying,x5 Gaming,2.30,1.57,1479,24:39
2023-04-20,DPC SA 2023 Tour 2: Division II,41855,2,83183,Dreamers Esports,x5 Gaming,Techies|Medusa|Void Spirit|Skywrath Mage|Legion Commander,Abaddon|Disruptor|Timbersaw|Clockwerk|Puck,Dreamers Esports,2.48,1.50,3465,57:45
2023-04-20,DPC SA 2023 Tour 2: Division II,41855,3,83185,Dreamers Esports,x5 Gaming,Leshrac|Spirit Breaker|Skywrath Mage|Slark|Doom,Visage|Nature's Prophet|Snapfire|Dawnbreaker|Ember Spirit,x5 Gaming,2.00,1.72,1850,30:50
2023-04-20,DPC SA 2023 Tour 2: Division II,41854,1,83173,Infamous Gaming,Lava Esports,Drow Ranger|Underlord|Disruptor|Rubick|Shadow Fiend,Viper|Snapfire|Ursa|Ember Spirit|Silencer,Lava Esports,2.02,1.74,2093,34:53
2023-04-20,DPC SA 2023 Tour 2: Division II,41854,2,83177,Infamous Gaming,Lava Esports,Night Stalker|Storm Spirit|Death Prophet|Undying|Earth Spirit,Beastmaster|Pangolier|Rubick|Morphling|Enchantress,Lava Esports,2.11,1.68,1588,26:28
2023-04-20,DreamLeague S19,41851,1,83099,OG,Team Liquid,Dragon Knight|Phoenix|Phantom Lancer|Pangolier|Bane,Enigma|Batrider|Morphling|Disruptor|Undying,Team Liquid,3.40,1.32,1853,30:53
2023-04-20,DreamLeague S19,41851,2,83175,OG,Team Liquid,Venomancer|Naga Siren|Rubick|Arc Warden|Pudge,Ember Spirit|Nature's Prophet|Enchantress|Timbersaw|Alchemist,Team Liquid,4.00,1.22,2346,39:06
2023-04-20,DPC SA 2023 Tour 2: Division II,41853,1,83164,Ravens,Balrogs e-Sport,Brewmaster|Undying|Storm Spirit|Nature's Prophet|Disruptor,Death Prophet|Enchantress|Pangolier|Clockwerk|Terrorblade,Balrogs e-Sport,2.17,1.64,1959,32:39
2023-04-20,DPC SA 2023 Tour 2: Division II,41853,2,83167,Ravens,Balrogs e-Sport,Disruptor|Pangolier|Terrorblade|Dawnbreaker|Clockwerk,Monkey King|Doom|Ember Spirit|Jakiro|Hoodwink,Balrogs e-Sport,2.84,1.39,2114,35:14
2023-04-20,DreamLeague S19,41850,1,83124,Gaimin Gladiators,Evil Geniuses,Leshrac|Undying|Drow Ranger|Disruptor|Lycan,Snapfire|Bane|Doom|Gyrocopter|Rubick,Gaimin Gladiators,1.36,2.99,1778,29:38
2023-04-20,DreamLeague S19,41850,2,83162,Gaimin Gladiators,Evil Geniuses,Ember Spirit|Disruptor|Morphling|Beastmaster|Bounty Hunter,Riki|Monkey King|Enchantress|Slark|Leshrac,Evil Geniuses,1.25,3.70,2405,40:05
2023-04-20,DreamLeague S19,41850,3,83170,Gaimin Gladiators,Evil Geniuses,Io|Slark|Leshrac|Bloodseeker|Disruptor,Enigma|Enchantress|Drow Ranger|Rubick|Pangolier,Gaimin Gladiators,1.37,2.94,1933,32:13
2023-04-20,European Pro League Season 8,41848,1,83149,HF,ANCIENT TRIBE,Slark|Shadow Fiend|Mirana|Disruptor|Doom,Enchantress|Beastmaster|Tiny|Sniper|Viper,ANCIENT TRIBE,2.68,1.43,1243,20:43
2023-04-20,European Pro League Season 8,41848,2,83154,HF,ANCIENT TRIBE,Morphling|Ember Spirit|Batrider|Rubick|Undying,Dragon Knight|Phantom Lancer|Disruptor|Broodmother|Snapfire,ANCIENT TRIBE,2.63,1.45,1534,25:34
2023-04-20,DPC EEU 2023 Tour 2: Division II,41852,1,83145,cybercats,NO SORRY,Rubick|Jakiro|Faceless Void|Invoker|Primal Beast,Clockwerk|Hoodwink|Ursa|Centaur Warrunner|Tiny,NO SORRY,1.32,3.20,2538,42:18
2023-04-20,DPC EEU 2023 Tour 2: Division II,41852,2,83150,cybercats,NO SORRY,Ember Spirit|Clockwerk|Disruptor|Enigma|Phantom Lancer,Drow Ranger|Centaur Warrunner|Undying|Batrider|Shadow Demon,cybercats,1.55,2.35,1571,26:11
2023-04-20,DPC EEU 2023 Tour 2: Division II,41852,3,83155,cybercats,NO SORRY,Dragon Knight|Enchantress|Lycan|Snapfire|Abaddon,Rubick|Crystal Maiden|Phantom Assassin|Centaur Warrunner|Outworld Destroyer,NO SORRY,1.45,2.63,1989,33:09
2023-04-20,DreamLeague S19,41849,1,83079,TSM,Shopify Rebellion,Dragon Knight|Wraith King|Disruptor|Skywrath Mage|Pangolier,Puck|Ursa|Undying|Nature's Prophet|Earth Spirit,Shopify Rebellion,2.45,1.51,2713,45:13
2023-04-20,DreamLeague S19,41849,2,83146,TSM,Shopify Rebellion,Jakiro|Naga Siren|Doom|Slark|Dragon Knight,Nature's Prophet|Undying|Necrophos|Anti-Mage|Lion,Shopify Rebellion,3.47,1.28,2161,36:01
2023-04-20,European Pro League Season 8,41847,1,83098,Ionut Cercel,D2 HUSTLERS,Lycan|Earthshaker|Enigma|Disruptor|Storm Spirit,Dragon Knight|Kunkka|Underlord|Bounty Hunter|Hoodwink,D2 HUSTLERS,2.94,1.37,2292,38:12
2023-04-20,European Pro League Season 8,41847,2,83140,Ionut Cercel,D2 HUSTLERS,Slark|Io|Visage|Pugna|Tiny,Faceless Void|Dragon Knight|Disruptor|Skywrath Mage|Invoker,Ionut Cercel,3.80,1.22,1643,27:23
2023-04-20,European Pro League Season 8,41847,3,83143,Ionut Cercel,D2 HUSTLERS,Beastmaster|Slark|Io|Windranger|Pangolier,Kunkka|Terrorblade|Dragon Knight|Disruptor|Skywrath Mage,D2 HUSTLERS,3.10,1.32,2561,42:41
2023-04-20,DPC EEU 2023 Tour 2: Division II,41844,1,83129,NAVI Junior,MONEYMAKERS,Primal Beast|Techies|Disruptor|Templar Assassin|Dragon Knight,Rubick|Lifestealer|Undying|Beastmaster|Shadow Fiend,MONEYMAKERS,2.25,1.60,2089,34:49
