strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,119,77,42,64.71,2833,1833,11900,0.1540,610,100
Flat100,none,any,WR_DELTA,10,109,70,39,64.22,2579,1579,10900,0.1449,704,100
Flat100,none,any,WR_DELTA,15,99,63,36,63.64,2503,1503,9900,0.1518,481,100
Flat100,none,any,WR_DELTA,20,90,58,32,64.44,2546,1546,9000,0.1718,468,100
Flat100,none,any,WR_DELTA,25,86,55,31,63.95,2186,1186,8600,0.1379,445,100
Flat100,none,any,WR_DELTA,30,83,55,28,66.27,2486,1486,8300,0.1790,368,100
Flat100,none,any,WR_DELTA,35,79,53,26,67.09,2462,1462,7900,0.1851,268,100
Flat100,none,any,WR_DELTA,40,74,50,24,67.57,2399,1399,7400,0.1891,309,100
Flat100,none,any,WR_DELTA,45,71,48,23,67.61,2403,1403,7100,0.1976,335,100
Flat100,none,any,WR_DELTA,50,63,43,20,68.25,2244,1244,6300,0.1975,438,100
Flat100,none,any,WR_DELTA,75,53,38,15,71.70,2413,1413,5300,0.2666,387,100
Flat100,none,any,WR_DELTA,100,37,25,12,67.57,1679,679,3700,0.1835,500,100
Flat100,none,any,WR_DELTA,125,22,15,7,68.18,1468,468,2200,0.2127,300,100
Flat100,none,any,WR_DELTA,150,10,8,2,80.00,1400,400,1000,0.4000,200,100
Flat100,none,any,WR_DELTA,200,3,3,0,100.00,1172,172,300,0.5733,0,100
Flat100,none,any,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,5,53,28,25,52.83,2143,1143,5300,0.2157,609,100
Flat100,none,underdog,WR_DELTA,10,51,26,25,50.98,1838,838,5100,0.1643,609,100
Flat100,none,underdog,WR_DELTA,15,49,25,24,51.02,1809,809,4900,0.1651,509,100
Flat100,none,underdog,WR_DELTA,20,44,24,20,54.55,2028,1028,4400,0.2336,408,100
Flat100,none,underdog,WR_DELTA,25,40,21,19,52.50,1668,668,4000,0.1670,414,100
Flat100,none,underdog,WR_DELTA,30,38,21,17,55.26,1868,868,3800,0.2284,214,100
Flat100,none,underdog,WR_DELTA,35,36,20,16,55.56,1798,798,3600,0.2217,214,100
Flat100,none,underdog,WR_DELTA,40,32,18,14,56.25,1788,788,3200,0.2463,214,100
Flat100,none,underdog,WR_DELTA,45,32,18,14,56.25,1788,788,3200,0.2463,214,100
Flat100,none,underdog,WR_DELTA,50,29,16,13,55.17,1593,593,2900,0.2045,300,100
Flat100,none,underdog,WR_DELTA,75,24,15,9,62.50,1833,833,2400,0.3471,200,100
Flat100,none,underdog,WR_DELTA,100,16,10,6,62.50,1495,495,1600,0.3094,300,100
Flat100,none,underdog,WR_DELTA,125,10,6,4,60.00,1246,246,1000,0.2460,209,100
Flat100,none,underdog,WR_DELTA,150,4,3,1,75.00,1215,215,400,0.5375,100,100
Flat100,none,underdog,WR_DELTA,200,1,1,0,100.00,1100,100,100,1.0000,0,100
Flat100,none,underdog,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,5,65,48,17,73.85,1603,603,6500,0.0928,495,100
Flat100,none,favorite,WR_DELTA,10,57,43,14,75.44,1654,654,5700,0.1147,395,100
Flat100,none,favorite,WR_DELTA,15,49,37,12,75.51,1607,607,4900,0.1239,415,100
Flat100,none,favorite,WR_DELTA,20,45,33,12,73.33,1431,431,4500,0.0958,415,100
Flat100,none,favorite,WR_DELTA,25,45,33,12,73.33,1431,431,4500,0.0958,415,100
Flat100,none,favorite,WR_DELTA,30,44,33,11,75.00,1531,531,4400,0.1207,415,100
Flat100,none,favorite,WR_DELTA,35,42,32,10,76.19,1577,577,4200,0.1374,315,100
Flat100,none,favorite,WR_DELTA,40,41,31,10,75.61,1524,524,4100,0.1278,368,100
Flat100,none,favorite,WR_DELTA,45,38,29,9,76.32,1528,528,3800,0.1389,338,100
Flat100,none,favorite,WR_DELTA,50,33,26,7,78.79,1564,564,3300,0.1709,238,100
Flat100,none,favorite,WR_DELTA,75,28,22,6,78.57,1493,493,2800,0.1761,355,100
Flat100,none,favorite,WR_DELTA,100,21,15,6,71.43,1184,184,2100,0.0876,355,100
Flat100,none,favorite,WR_DELTA,125,12,9,3,75.00,1222,222,1200,0.1850,200,100
Flat100,none,favorite,WR_DELTA,150,6,5,1,83.33,1185,185,600,0.3083,100,100
Flat100,none,favorite,WR_DELTA,200,2,2,0,100.00,1072,72,200,0.3600,0,100
Flat100,none,favorite,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Bankroll5pct,none,any,WR_DELTA,5,119,77,42,64.71,2191,1191,11370,0.1048,706,126
Bankroll5pct,none,any,WR_DELTA,10,109,70,39,64.22,1953,953,9806,0.0971,764,119
Bankroll5pct,none,any,WR_DELTA,15,99,63,36,63.64,1894,894,8149,0.1097,502,106
Bankroll5pct,none,any,WR_DELTA,20,90,58,32,64.44,1955,955,7467,0.1278,428,102
Bankroll5pct,none,any,WR_DELTA,25,86,55,31,63.95,1650,650,6567,0.0990,397,90
