strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,10,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,15,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,20,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,25,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,30,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,35,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,40,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,45,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,50,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,75,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,100,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,125,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,150,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,200,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,5,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,10,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,15,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,20,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,25,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,30,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,35,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,40,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,45,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,50,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,75,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,100,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,125,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,150,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,200,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,5,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,10,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,15,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,20,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,25,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,30,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,35,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,40,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,45,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,50,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,75,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,100,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,125,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,150,0,0,0,0.00,1000,0,0,0.0000,0,0
