odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
1.2,50,9,8,1,1,333,990,,,0
1.2,100,5,4,1,1,333,847,,,0
1.2,150,3,3,0,0,1000,1410,,,0
1.2,200,1,1,0,0,1000,1180,,,0
1.2,250,0,0,0,0,0,1000,,,0
1.2,300,0,0,0,0,0,1000,,,0
1.2,350,0,0,0,0,0,1000,,,0
1.2,400,0,0,0,0,0,1000,,,0
1.3,50,13,12,1,1,333,1420,,,0
1.3,100,8,7,1,1,333,1183,,,0
1.3,150,5,5,0,0,1000,1900,,,0
1.3,200,2,2,0,0,1000,1450,,,0
1.3,250,0,0,0,0,0,1000,,,0
1.3,300,0,0,0,0,0,1000,,,0
1.3,350,0,0,0,0,0,1000,,,0
1.3,400,0,0,0,0,0,1000,,,0
1.4,50,16,14,2,1,333,1356,,,0
1.4,100,9,8,1,1,333,1293,,,0
1.4,150,6,6,0,0,1000,2200,,,0
1.4,200,2,2,0,0,1000,1450,,,0
1.4,250,0,0,0,0,0,1000,,,0
1.4,300,0,0,0,0,0,1000,,,0
1.4,350,0,0,0,0,0,1000,,,0
1.4,400,0,0,0,0,0,1000,,,0
1.5,50,16,14,2,1,333,1356,,,0
1.5,100,9,8,1,1,333,1293,,,0
1.5,150,6,6,0,0,1000,2200,,,0
1.5,200,2,2,0,0,1000,1450,,,0
1.5,250,0,0,0,0,0,1000,,,0
1.5,300,0,0,0,0,0,1000,,,0
1.5,350,0,0,0,0,0,1000,,,0
1.5,400,0,0,0,0,0,1000,,,0
1.6,50,20,16,4,2,142,960,,,0
1.6,100,9,8,1,1,333,1293,,,0
1.6,150,6,6,0,0,1000,2200,,,0
1.6,200,2,2,0,0,1000,1450,,,0
1.6,250,0,0,0,0,0,1000,,,0
1.6,300,0,0,0,0,0,1000,,,0
1.6,350,0,0,0,0,0,1000,,,0
1.6,400,0,0,0,0,0,1000,,,0
1.7,50,26,21,5,1,333,2269,,,0
1.7,100,13,12,1,1,333,2149,,,0
1.7,150,8,8,0,0,1000,3550,,,0
1.7,200,2,2,0,0,1000,1450,,,0
1.7,250,0,0,0,0,0,1000,,,0
1.7,300,0,0,0,0,0,1000,,,0
1.7,350,0,0,0,0,0,1000,,,0
1.7,400,0,0,0,0,0,1000,,,0
1.8,50,29,24,5,1,333,3001,,,0
1.8,100,14,13,1,1,333,2389,,,0
1.8,150,8,8,0,0,1000,3550,,,0
1.8,200,2,2,0,0,1000,1450,,,0
1.8,250,0,0,0,0,0,1000,,,0
1.8,300,0,0,0,0,0,1000,,,0
1.8,350,0,0,0,0,0,1000,,,0
1.8,400,0,0,0,0,0,1000,,,0
1.9,50,30,25,5,1,333,3274,,,0
1.9,100,15,14,1,1,333,2662,,,0
1.9,150,8,8,0,0,1000,3550,,,0
1.9,200,2,2,0,0,1000,1450,,,0
1.9,250,0,0,0,0,0,1000,,,0
1.9,300,0,0,0,0,0,1000,,,0
1.9,350,0,0,0,0,0,1000,,,0
1.9,400,0,0,0,0,0,1000,,,0
2.0,50,31,26,5,1,333,3574,,,0
2.0,100,15,14,1,1,333,2662,,,0
2.0,150,8,8,0,0,1000,3550,,,0
2.0,200,2,2,0,0,1000,1450,,,0
2.0,250,0,0,0,0,0,1000,,,0
2.0,300,0,0,0,0,0,1000,,,0
2.0,350,0,0,0,0,0,1000,,,0
2.0,400,0,0,0,0,0,1000,,,0
2.1,50,34,28,6,1,333,4164,,,0
2.1,100,17,16,1,1,333,3354,,,0
2.1,150,10,10,0,0,1000,5630,,,0
2.1,200,2,2,0,0,1000,1450,,,0
2.1,250,0,0,0,0,0,1000,,,0
2.1,300,0,0,0,0,0,1000,,,0
2.1,350,0,0,0,0,0,1000,,,0
2.1,400,0,0,0,0,0,1000,,,0
2.2,50,35,28,7,1,333,4104,,,0
2.2,100,17,16,1,1,333,3354,,,0
