strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,GPM,100,39,22,17,56.41,1074,74,3900,0.0190,862,100
Flat100,none,any,GPM,200,24,16,8,66.67,1665,665,2400,0.2771,462,100
Flat100,none,any,GPM,300,12,6,6,50.00,795,-205,1200,-0.1708,400,100
Flat100,none,any,GPM,400,7,3,4,42.86,690,-310,700,-0.4429,323,100
Flat100,none,any,GPM,500,3,2,1,66.67,977,-23,300,-0.0767,100,100
Flat100,none,any,XPM,100,40,20,20,50.00,812,-188,4000,-0.0470,987,100
Flat100,none,any,XPM,200,22,10,12,45.45,941,-59,2200,-0.0268,887,100
Flat100,none,any,XPM,300,9,4,5,44.44,922,-78,900,-0.0867,300,100
Flat100,none,any,XPM,400,4,2,2,50.00,877,-123,400,-0.3075,123,100
Flat100,none,any,XPM,500,2,1,1,50.00,956,-44,200,-0.2200,100,100
Flat100,none,any,HERO_DAMAGE,5000,44,21,23,47.73,840,-160,4400,-0.0364,761,100
Flat100,none,any,HERO_DAMAGE,10000,27,11,16,40.74,603,-397,2700,-0.1470,888,100
Flat100,none,any,HERO_DAMAGE,15000,14,6,8,42.86,1150,150,1400,0.1071,401,100
Flat100,none,any,HERO_DAMAGE,20000,3,1,2,33.33,821,-179,300,-0.5967,200,100
Flat100,none,any,HERO_DAMAGE,25000,1,0,1,0.00,900,-100,100,-1.0000,100,100
Flat100,none,any,TOWER_DAMAGE,5000,31,13,18,41.94,105,-895,3100,-0.2887,1140,100
Flat100,none,any,TOWER_DAMAGE,10000,12,5,7,41.67,623,-377,1200,-0.3142,490,100
Flat100,none,any,TOWER_DAMAGE,15000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,TOWER_DAMAGE,20000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,TOWER_DAMAGE,25000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,DAMAGE_TAKEN,10000,53,27,26,50.94,178,-822,5300,-0.1551,1051,100
Flat100,none,any,DAMAGE_TAKEN,20000,35,18,17,51.43,509,-491,3500,-0.1403,575,100
Flat100,none,any,DAMAGE_TAKEN,30000,20,11,9,55.00,930,-70,2000,-0.0350,302,100
Flat100,none,any,DAMAGE_TAKEN,40000,15,9,6,60.00,1027,27,1500,0.0180,202,100
Flat100,none,any,DAMAGE_TAKEN,50000,11,5,6,45.45,676,-324,1100,-0.2945,400,100
