strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,72,48,24,66.67,1885,885,7200,0.1229,402,100
Flat100,none,any,WR_DELTA,10,69,46,23,66.67,1629,629,6900,0.0912,402,100
Flat100,none,any,WR_DELTA,15,64,42,22,65.63,1518,518,6400,0.0809,510,100
Flat100,none,any,WR_DELTA,20,59,41,18,69.49,1823,823,5900,0.1395,323,100
Flat100,none,any,WR_DELTA,25,56,40,16,71.43,1951,951,5600,0.1698,263,100
Flat100,none,any,WR_DELTA,30,53,39,14,73.58,2134,1134,5300,0.2140,248,100
Flat100,none,any,WR_DELTA,35,50,37,13,74.00,2135,1135,5000,0.2270,297,100
Flat100,none,any,WR_DELTA,40,49,36,13,73.47,2019,1019,4900,0.2080,297,100
Flat100,none,any,WR_DELTA,45,46,35,11,76.09,2204,1204,4600,0.2617,297,100
Flat100,none,any,WR_DELTA,50,44,34,10,77.27,2256,1256,4400,0.2855,203,100
Flat100,none,any,WR_DELTA,75,31,23,8,74.19,1558,558,3100,0.1800,243,100
Flat100,none,any,WR_DELTA,100,22,19,3,86.36,1846,846,2200,0.3845,100,100
Flat100,none,any,WR_DELTA,125,15,13,2,86.67,1569,569,1500,0.3793,100,100
Flat100,none,any,WR_DELTA,150,12,12,0,100.00,1707,707,1200,0.5892,0,100
Flat100,none,any,WR_DELTA,200,2,2,0,100.00,1045,45,200,0.2250,0,100
Flat100,none,any,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,5,26,13,13,50.00,1600,600,2600,0.2308,400,100
Flat100,none,underdog,WR_DELTA,10,24,12,12,50.00,1368,368,2400,0.1533,500,100
Flat100,none,underdog,WR_DELTA,15,22,11,11,50.00,1376,376,2200,0.1709,500,100
Flat100,none,underdog,WR_DELTA,20,19,10,9,52.63,1481,481,1900,0.2532,400,100
Flat100,none,underdog,WR_DELTA,25,19,10,9,52.63,1481,481,1900,0.2532,400,100
Flat100,none,underdog,WR_DELTA,30,18,10,8,55.56,1581,581,1800,0.3228,400,100
Flat100,none,underdog,WR_DELTA,35,17,10,7,58.82,1681,681,1700,0.4006,400,100
Flat100,none,underdog,WR_DELTA,40,16,9,7,56.25,1565,565,1600,0.3531,400,100
Flat100,none,underdog,WR_DELTA,45,15,9,6,60.00,1665,665,1500,0.4433,400,100
Flat100,none,underdog,WR_DELTA,50,14,9,5,64.29,1765,765,1400,0.5464,300,100
Flat100,none,underdog,WR_DELTA,75,10,6,4,60.00,1297,297,1000,0.2970,300,100
Flat100,none,underdog,WR_DELTA,100,7,5,2,71.43,1377,377,700,0.5386,100,100
Flat100,none,underdog,WR_DELTA,125,6,4,2,66.67,1252,252,600,0.4200,100,100
Flat100,none,underdog,WR_DELTA,150,4,4,0,100.00,1452,452,400,1.1300,0,100
Flat100,none,underdog,WR_DELTA,200,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,5,46,35,11,76.09,1285,285,4600,0.0620,518,100
Flat100,none,favorite,WR_DELTA,10,45,34,11,75.56,1261,261,4500,0.0580,518,100
Flat100,none,favorite,WR_DELTA,15,42,31,11,73.81,1142,142,4200,0.0338,534,100
Flat100,none,favorite,WR_DELTA,20,40,31,9,77.50,1342,342,4000,0.0855,406,100
Flat100,none,favorite,WR_DELTA,25,37,30,7,81.08,1470,470,3700,0.1270,306,100
