odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
1.2,50,1,1,0,0,1000,1100,,,0
1.2,100,1,1,0,0,1000,1100,,,0
1.2,150,1,1,0,0,1000,1100,,,0
1.2,200,1,1,0,0,1000,1100,,,0
1.2,250,0,0,0,0,0,1000,,,0
1.2,300,0,0,0,0,0,1000,,,0
1.2,350,0,0,0,0,0,1000,,,0
1.2,400,0,0,0,0,0,1000,,,0
1.3,50,4,3,1,1,333,927,,,0
1.3,100,3,3,0,0,1000,1580,,,0
1.3,150,2,2,0,0,1000,1380,,,0
1.3,200,2,2,0,0,1000,1380,,,0
1.3,250,0,0,0,0,0,1000,,,0
1.3,300,0,0,0,0,0,1000,,,0
1.3,350,0,0,0,0,0,1000,,,0
1.3,400,0,0,0,0,0,1000,,,0
1.4,50,9,8,1,1,333,1480,,,0
1.4,100,7,7,0,0,1000,2860,,,0
1.4,150,3,3,0,0,1000,1680,,,0
1.4,200,2,2,0,0,1000,1380,,,0
1.4,250,0,0,0,0,0,1000,,,0
1.4,300,0,0,0,0,0,1000,,,0
1.4,350,0,0,0,0,0,1000,,,0
1.4,400,0,0,0,0,0,1000,,,0
1.5,50,19,16,3,1,333,2099,,,0
1.5,100,11,10,1,1,333,1736,,,0
1.5,150,3,3,0,0,1000,1680,,,0
1.5,200,2,2,0,0,1000,1380,,,0
1.5,250,0,0,0,0,0,1000,,,0
1.5,300,0,0,0,0,0,1000,,,0
1.5,350,0,0,0,0,0,1000,,,0
1.5,400,0,0,0,0,0,1000,,,0
1.6,50,25,19,6,2,142,1332,,,0
1.6,100,12,11,1,1,333,1929,,,0
1.6,150,3,3,0,0,1000,1680,,,0
1.6,200,2,2,0,0,1000,1380,,,0
1.6,250,0,0,0,0,0,1000,,,0
1.6,300,0,0,0,0,0,1000,,,0
1.6,350,0,0,0,0,0,1000,,,0
1.6,400,0,0,0,0,0,1000,,,0
1.7,50,26,20,6,2,142,1630,,,0
1.7,100,12,11,1,1,333,1929,,,0
1.7,150,3,3,0,0,1000,1680,,,0
1.7,200,2,2,0,0,1000,1380,,,0
1.7,250,0,0,0,0,0,1000,,,0
1.7,300,0,0,0,0,0,1000,,,0
1.7,350,0,0,0,0,0,1000,,,0
1.7,400,0,0,0,0,0,1000,,,0
1.8,50,27,20,7,2,142,1460,,,0
1.8,100,12,11,1,1,333,1929,,,0
1.8,150,3,3,0,0,1000,1680,,,0
1.8,200,2,2,0,0,1000,1380,,,0
1.8,250,0,0,0,0,0,1000,,,0
1.8,300,0,0,0,0,0,1000,,,0
1.8,350,0,0,0,0,0,1000,,,0
1.8,400,0,0,0,0,0,1000,,,0
1.9,50,34,25,9,2,142,1899,,,0
1.9,100,17,14,3,1,333,2632,,,0
1.9,150,6,5,1,1,333,1450,,,0
1.9,200,4,4,0,0,1000,3050,,,0
1.9,250,0,0,0,0,0,1000,,,0
1.9,300,0,0,0,0,0,1000,,,0
1.9,350,0,0,0,0,0,1000,,,0
1.9,400,0,0,0,0,0,1000,,,0
2.0,50,37,25,12,2,142,1623,,,0
2.0,100,18,14,4,2,142,1639,,,0
2.0,150,6,5,1,1,333,1450,,,0
2.0,200,4,4,0,0,1000,3050,,,0
2.0,250,0,0,0,0,0,1000,,,0
2.0,300,0,0,0,0,0,1000,,,0
2.0,350,0,0,0,0,0,1000,,,0
2.0,400,0,0,0,0,0,1000,,,0
2.1,50,38,26,12,2,142,1768,,,0
2.1,100,18,14,4,2,142,1639,,,0
2.1,150,6,5,1,1,333,1450,,,0
2.1,200,4,4,0,0,1000,3050,,,0
2.1,250,0,0,0,0,0,1000,,,0
2.1,300,0,0,0,0,0,1000,,,0
2.1,350,0,0,0,0,0,1000,,,0
2.1,400,0,0,0,0,0,1000,,,0
2.2,50,41,29,12,2,142,2257,,,0
2.2,100,19,15,4,2,142,1951,,,0
2.2,150,6,5,1,1,333,1450,,,0
2.2,200,4,4,0,0,1000,3050,,,0
2.2,250,0,0,0,0,0,1000,,,0
2.2,300,0,0,0,0,0,1000,,,0
2.2,350,0,0,0,0,0,1000,,,0
2.2,400,0,0,0,0,0,1000,,,0
2.3,50,47,33,14,2,142,2894,,,0
2.3,100,20,15,5,2,142,1914,,,0
2.3,150,6,5,1,1,333,1450,,,0
2.3,200,4,4,0,0,1000,3050,,,0
2.3,250,0,0,0,0,0,1000,,,0
2.3,300,0,0,0,0,0,1000,,,0
2.3,350,0,0,0,0,0,1000,,,0
2.3,400,0,0,0,0,0,1000,,,0
2.4,50,49,35,14,2,142,3276,,,0
2.4,100,21,16,5,2,142,2103,,,0
2.4,150,6,5,1,1,333,1450,,,0
2.4,200,4,4,0,0,1000,3050,,,0
2.4,250,0,0,0,0,0,1000,,,0
2.4,300,0,0,0,0,0,1000,,,0
2.4,350,0,0,0,0,0,1000,,,0
2.4,400,0,0,0,0,0,1000,,,0
2.5,50,51,37,14,2,142,3685,,,0
2.5,100,22,17,5,2,142,2306,,,0
2.5,150,6,5,1,1,333,1450,,,0
2.5,200,4,4,0,0,1000,3050,,,0
2.5,250,0,0,0,0,0,1000,,,0
2.5,300,0,0,0,0,0,1000,,,0
2.5,350,0,0,0,0,0,1000,,,0
2.5,400,0,0,0,0,0,1000,,,0
2.6,50,53,38,15,3,66,2484,,,0
2.6,100,23,18,5,2,142,2556,,,0
2.6,150,7,6,1,1,333,1959,,,0
2.6,200,4,4,0,0,1000,3050,,,0
2.6,250,0,0,0,0,0,1000,,,0
2.6,300,0,0,0,0,0,1000,,,0
2.6,350,0,0,0,0,0,1000,,,0
2.6,400,0,0,0,0,0,1000,,,0
2.7,50,54,39,15,3,66,2592,,,0
2.7,100,24,19,5,2,142,2788,,,0
2.7,150,7,6,1,1,333,1959,,,0
2.7,200,4,4,0,0,1000,3050,,,0
2.7,250,0,0,0,0,0,1000,,,0
2.7,300,0,0,0,0,0,1000,,,0
2.7,350,0,0,0,0,0,1000,,,0
2.7,400,0,0,0,0,0,1000,,,0
2.8,50,55,39,16,3,66,2608,,,0
2.8,100,24,19,5,2,142,2788,,,0
2.8,150,7,6,1,1,333,1959,,,0
2.8,200,4,4,0,0,1000,3050,,,0
2.8,250,0,0,0,0,0,1000,,,0
2.8,300,0,0,0,0,0,1000,,,0
2.8,350,0,0,0,0,0,1000,,,0
2.8,400,0,0,0,0,0,1000,,,0
2.9,50,55,39,16,3,66,2608,,,0
2.9,100,24,19,5,2,142,2788,,,0
2.9,150,7,6,1,1,333,1959,,,0
2.9,200,4,4,0,0,1000,3050,,,0
2.9,250,0,0,0,0,0,1000,,,0
2.9,300,0,0,0,0,0,1000,,,0
2.9,350,0,0,0,0,0,1000,,,0
2.9,400,0,0,0,0,0,1000,,,0
3.0,50,55,39,16,3,66,2608,,,0
3.0,100,24,19,5,2,142,2788,,,0
3.0,150,7,6,1,1,333,1959,,,0
3.0,200,4,4,0,0,1000,3050,,,0
3.0,250,0,0,0,0,0,1000,,,0
3.0,300,0,0,0,0,0,1000,,,0
3.0,350,0,0,0,0,0,1000,,,0
3.0,400,0,0,0,0,0,1000,,,0
3.1,50,56,39,17,4,32,1729,,,0
3.1,100,24,19,5,2,142,2788,,,0
3.1,150,7,6,1,1,333,1959,,,0
3.1,200,4,4,0,0,1000,3050,,,0
3.1,250,0,0,0,0,0,1000,,,0
3.1,300,0,0,0,0,0,1000,,,0
3.1,350,0,0,0,0,0,1000,,,0
3.1,400,0,0,0,0,0,1000,,,0
3.2,50,56,39,17,4,32,1729,,,0
3.2,100,24,19,5,2,142,2788,,,0
3.2,150,7,6,1,1,333,1959,,,0
3.2,200,4,4,0,0,1000,3050,,,0
3.2,250,0,0,0,0,0,1000,,,0
3.2,300,0,0,0,0,0,1000,,,0
3.2,350,0,0,0,0,0,1000,,,0
3.2,400,0,0,0,0,0,1000,,,0
3.3,50,57,39,18,4,32,1626,,,0
3.3,100,24,19,5,2,142,2788,,,0
3.3,150,7,6,1,1,333,1959,,,0
3.3,200,4,4,0,0,1000,3050,,,0
3.3,250,0,0,0,0,0,1000,,,0
3.3,300,0,0,0,0,0,1000,,,0
3.3,350,0,0,0,0,0,1000,,,0
3.3,400,0,0,0,0,0,1000,,,0
3.4,50,57,39,18,4,32,1626,,,0
3.4,100,24,19,5,2,142,2788,,,0
3.4,150,7,6,1,1,333,1959,,,0
3.4,200,4,4,0,0,1000,3050,,,0
3.4,250,0,0,0,0,0,1000,,,0
3.4,300,0,0,0,0,0,1000,,,0
3.4,350,0,0,0,0,0,1000,,,0
3.4,400,0,0,0,0,0,1000,,,0
3.5,50,57,39,18,4,32,1626,,,0
3.5,100,24,19,5,2,142,2788,,,0
3.5,150,7,6,1,1,333,1959,,,0
3.5,200,4,4,0,0,1000,3050,,,0
3.5,250,0,0,0,0,0,1000,,,0
3.5,300,0,0,0,0,0,1000,,,0
3.5,350,0,0,0,0,0,1000,,,0
3.5,400,0,0,0,0,0,1000,,,0
3.6,50,57,39,18,4,32,1626,,,0
3.6,100,24,19,5,2,142,2788,,,0
3.6,150,7,6,1,1,333,1959,,,0
3.6,200,4,4,0,0,1000,3050,,,0
3.6,250,0,0,0,0,0,1000,,,0
3.6,300,0,0,0,0,0,1000,,,0
3.6,350,0,0,0,0,0,1000,,,0
3.6,400,0,0,0,0,0,1000,,,0
3.7,50,57,39,18,4,32,1626,,,0
3.7,100,24,19,5,2,142,2788,,,0
3.7,150,7,6,1,1,333,1959,,,0
3.7,200,4,4,0,0,1000,3050,,,0
3.7,250,0,0,0,0,0,1000,,,0
3.7,300,0,0,0,0,0,1000,,,0
3.7,350,0,0,0,0,0,1000,,,0
3.7,400,0,0,0,0,0,1000,,,0
3.8,50,57,39,18,4,32,1626,,,0
3.8,100,24,19,5,2,142,2788,,,0
3.8,150,7,6,1,1,333,1959,,,0
3.8,200,4,4,0,0,1000,3050,,,0
3.8,250,0,0,0,0,0,1000,,,0
3.8,300,0,0,0,0,0,1000,,,0
3.8,350,0,0,0,0,0,1000,,,0
3.8,400,0,0,0,0,0,1000,,,0
3.9,50,57,39,18,4,32,1626,,,0
3.9,100,24,19,5,2,142,2788,,,0
3.9,150,7,6,1,1,333,1959,,,0
3.9,200,4,4,0,0,1000,3050,,,0
3.9,250,0,0,0,0,0,1000,,,0
3.9,300,0,0,0,0,0,1000,,,0
3.9,350,0,0,0,0,0,1000,,,0
3.9,400,0,0,0,0,0,1000,,,0
4.0,50,57,39,18,4,32,1626,,,0
4.0,100,24,19,5,2,142,2788,,,0
4.0,150,7,6,1,1,333,1959,,,0
4.0,200,4,4,0,0,1000,3050,,,0
4.0,250,0,0,0,0,0,1000,,,0
4.0,300,0,0,0,0,0,1000,,,0
4.0,350,0,0,0,0,0,1000,,,0
4.0,400,0,0,0,0,0,1000,,,0
