strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,GPM,100,67,37,30,55.22,1114,114,6700,0.0170,1207,100
Flat100,none,any,GPM,200,36,17,19,47.22,465,-535,3600,-0.1486,1085,100
Flat100,none,any,GPM,300,16,9,7,56.25,1000,0,1600,0.0000,377,100
Flat100,none,any,GPM,400,5,4,1,80.00,1238,238,500,0.4760,100,100
Flat100,none,any,GPM,500,3,3,0,100.00,1308,308,300,1.0267,0,100
Flat100,none,any,XPM,100,66,35,31,53.03,385,-615,6600,-0.0932,1237,100
Flat100,none,any,XPM,200,30,15,15,50.00,448,-552,3000,-0.1840,956,100
Flat100,none,any,XPM,300,15,6,9,40.00,569,-431,1500,-0.2873,593,100
Flat100,none,any,XPM,400,5,4,1,80.00,1315,315,500,0.6300,100,100
Flat100,none,any,XPM,500,2,2,0,100.00,1133,133,200,0.6650,0,100
Flat100,none,any,HERO_DAMAGE,5000,76,38,38,50.00,415,-585,7600,-0.0770,1043,100
Flat100,none,any,HERO_DAMAGE,10000,51,27,24,52.94,909,-91,5100,-0.0178,911,100
Flat100,none,any,HERO_DAMAGE,15000,26,16,10,61.54,1183,183,2600,0.0704,328,100
Flat100,none,any,HERO_DAMAGE,20000,16,9,7,56.25,916,-84,1600,-0.0525,362,100
Flat100,none,any,HERO_DAMAGE,25000,5,4,1,80.00,1087,87,500,0.1740,100,100
Flat100,none,any,TOWER_DAMAGE,5000,44,27,17,61.36,1856,856,4400,0.1945,500,100
Flat100,none,any,TOWER_DAMAGE,10000,12,5,7,41.67,691,-309,1200,-0.2575,505,100
Flat100,none,any,TOWER_DAMAGE,15000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,TOWER_DAMAGE,20000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,TOWER_DAMAGE,25000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,DAMAGE_TAKEN,10000,60,32,28,53.33,1201,201,6000,0.0335,1038,100
Flat100,none,any,DAMAGE_TAKEN,20000,28,16,12,57.14,1296,296,2800,0.1057,345,100
Flat100,none,any,DAMAGE_TAKEN,30000,11,8,3,72.73,1488,488,1100,0.4436,100,100
Flat100,none,any,DAMAGE_TAKEN,40000,5,4,1,80.00,1243,243,500,0.4860,100,100
Flat100,none,any,DAMAGE_TAKEN,50000,2,1,1,50.00,964,-36,200,-0.1800,100,100
Flat100,none,any,TEAM_PARTICIPATION,1,64,28,36,43.75,-247,-1247,6400,-0.1948,1477,100
Flat100,none,any,TEAM_PARTICIPATION,2,37,18,19,48.65,794,-206,3700,-0.0557,671,100
Flat100,none,any,TEAM_PARTICIPATION,3,21,10,11,47.62,847,-153,2100,-0.0729,438,100
Flat100,none,any,TEAM_PARTICIPATION,4,9,6,3,66.67,1290,290,900,0.3222,100,100
Flat100,none,any,TEAM_PARTICIPATION,5,3,2,1,66.67,993,-7,300,-0.0233,100,100
Flat100,none,underdog,GPM,100,29,14,15,48.28,1548,548,2900,0.1890,687,100
Flat100,none,underdog,GPM,200,16,7,9,43.75,1067,67,1600,0.0419,547,100
Flat100,none,underdog,GPM,300,6,4,2,66.67,1347,347,600,0.5783,100,100
Flat100,none,underdog,GPM,400,2,2,0,100.00,1278,278,200,1.3900,0,100
Flat100,none,underdog,GPM,500,2,2,0,100.00,1278,278,200,1.3900,0,100
Flat100,none,underdog,XPM,100,26,12,14,46.15,1083,83,2600,0.0319,597,100
Flat100,none,underdog,XPM,200,12,4,8,33.33,747,-253,1200,-0.2108,647,100
