strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,101,65,36,64.36,2778,1778,10100,0.1760,510,100
Flat100,none,any,WR_DELTA,10,96,63,33,65.63,2932,1932,9600,0.2013,500,100
Flat100,none,any,WR_DELTA,15,91,63,28,69.23,3432,2432,9100,0.2673,500,100
Flat100,none,any,WR_DELTA,20,85,58,27,68.24,3188,2188,8500,0.2574,500,100
Flat100,none,any,WR_DELTA,25,81,56,25,69.14,3147,2147,8100,0.2651,500,100
Flat100,none,any,WR_DELTA,30,78,54,24,69.23,3127,2127,7800,0.2727,500,100
Flat100,none,any,WR_DELTA,35,75,51,24,68.00,2883,1883,7500,0.2511,500,100
Flat100,none,any,WR_DELTA,40,72,49,23,68.06,2775,1775,7200,0.2465,500,100
Flat100,none,any,WR_DELTA,45,67,45,22,67.16,2574,1574,6700,0.2349,400,100
Flat100,none,any,WR_DELTA,50,61,40,21,65.57,2300,1300,6100,0.2131,400,100
Flat100,none,any,WR_DELTA,75,40,30,10,75.00,2554,1554,4000,0.3885,300,100
Flat100,none,any,WR_DELTA,100,25,20,5,80.00,2194,1194,2500,0.4776,213,100
Flat100,none,any,WR_DELTA,125,15,12,3,80.00,1796,796,1500,0.5307,213,100
Flat100,none,any,WR_DELTA,150,8,7,1,87.50,1652,652,800,0.8150,100,100
Flat100,none,any,WR_DELTA,200,4,4,0,100.00,1205,205,400,0.5125,0,100
Flat100,none,any,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,5,42,24,18,57.14,2511,1511,4200,0.3598,500,100
Flat100,none,underdog,WR_DELTA,10,38,23,15,60.53,2696,1696,3800,0.4463,400,100
Flat100,none,underdog,WR_DELTA,15,37,23,14,62.16,2796,1796,3700,0.4854,400,100
Flat100,none,underdog,WR_DELTA,20,36,23,13,63.89,2896,1896,3600,0.5267,400,100
Flat100,none,underdog,WR_DELTA,25,34,22,12,64.71,2816,1816,3400,0.5341,400,100
Flat100,none,underdog,WR_DELTA,30,34,22,12,64.71,2816,1816,3400,0.5341,400,100
Flat100,none,underdog,WR_DELTA,35,33,21,12,63.64,2718,1718,3300,0.5206,400,100
Flat100,none,underdog,WR_DELTA,40,32,20,12,62.50,2583,1583,3200,0.4947,400,100
Flat100,none,underdog,WR_DELTA,45,30,18,12,60.00,2308,1308,3000,0.4360,400,100
Flat100,none,underdog,WR_DELTA,50,28,16,12,57.14,2075,1075,2800,0.3839,400,100
Flat100,none,underdog,WR_DELTA,75,16,11,5,68.75,2158,1158,1600,0.7238,200,100
Flat100,none,underdog,WR_DELTA,100,8,6,2,75.00,1871,871,800,1.0888,100,100
Flat100,none,underdog,WR_DELTA,125,5,4,1,80.00,1675,675,500,1.3500,100,100
Flat100,none,underdog,WR_DELTA,150,2,2,0,100.00,1517,517,200,2.5850,0,100
Flat100,none,underdog,WR_DELTA,200,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,250,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,300,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,350,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,underdog,WR_DELTA,400,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,favorite,WR_DELTA,5,54,38,16,70.37,1203,203,5400,0.0376,316,100
Flat100,none,favorite,WR_DELTA,10,53,37,16,69.81,1172,172,5300,0.0325,316,100
Flat100,none,favorite,WR_DELTA,15,50,37,13,74.00,1472,472,5000,0.0944,235,100
Flat100,none,favorite,WR_DELTA,20,46,33,13,71.74,1218,218,4600,0.0474,299,100
Flat100,none,favorite,WR_DELTA,25,44,32,12,72.73,1257,257,4400,0.0584,299,100
Flat100,none,favorite,WR_DELTA,30,41,30,11,73.17,1237,237,4100,0.0578,304,100
Flat100,none,favorite,WR_DELTA,35,39,28,11,71.79,1091,91,3900,0.0233,394,100
