metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,13941,7045,6896,-119601,-120601,1394100,-0.0865,100,121087
GPM,200,7220,3630,3590,-66204,-67204,722000,-0.0931,100,67902
GPM,300,3236,1652,1584,-24322,-25322,323600,-0.0783,100,25854
GPM,400,1246,650,596,-6191,-7191,124600,-0.0577,100,9215
GPM,500,445,235,210,-2344,-3344,44500,-0.0751,100,3681
XPM,100,13666,6797,6869,-128049,-129049,1366600,-0.0944,100,129340
XPM,200,6909,3402,3507,-71310,-72310,690900,-0.1047,100,73456
XPM,300,2877,1406,1471,-33157,-34157,287700,-0.1187,100,34524
XPM,400,1060,548,512,-5728,-6728,106000,-0.0635,100,7492
XPM,500,360,195,165,338,-662,36000,-0.0184,100,2458
HERO_DAMAGE,5000,15607,7497,8110,-172997,-173997,1560700,-0.1115,100,174532
HERO_DAMAGE,10000,9616,4566,5050,-115064,-116064,961600,-0.1207,100,116707
HERO_DAMAGE,15000,5281,2444,2837,-72561,-73561,528100,-0.1393,100,73685
HERO_DAMAGE,20000,2556,1161,1395,-37066,-38066,255600,-0.1489,100,38495
HERO_DAMAGE,25000,1114,504,610,-15540,-16540,111400,-0.1485,100,16919
TOWER_DAMAGE,5000,8368,4320,4048,-65388,-66388,836800,-0.0793,100,68035
TOWER_DAMAGE,10000,1763,899,864,-15730,-16730,176300,-0.0949,100,17572
TOWER_DAMAGE,15000,205,103,102,-1060,-2060,20500,-0.1005,100,3496
TOWER_DAMAGE,20000,7,4,3,1034,34,700,0.0486,100,223
TOWER_DAMAGE,25000,1,0,1,900,-100,100,-1.0000,100,100
DAMAGE_TAKEN,10000,15043,7446,7597,-140212,-141212,1504300,-0.0939,100,142581
DAMAGE_TAKEN,20000,8870,4377,4493,-84080,-85080,887000,-0.0959,100,86145
DAMAGE_TAKEN,30000,4866,2437,2429,-43202,-44202,486600,-0.0908,100,44939
DAMAGE_TAKEN,40000,2597,1314,1283,-20759,-21759,259700,-0.0838,100,23293
DAMAGE_TAKEN,50000,1452,755,697,-8559,-9559,145200,-0.0658,100,11109
TEAM_PARTICIPATION,1,15004,7409,7595,-115128,-116128,1500400,-0.0774,100,116457
TEAM_PARTICIPATION,2,8523,4180,4343,-64655,-65655,852300,-0.0770,100,66245
TEAM_PARTICIPATION,3,4136,2043,2093,-30654,-31654,413600,-0.0765,100,31877
TEAM_PARTICIPATION,4,1694,814,880,-18634,-19634,169400,-0.1159,100,19925
TEAM_PARTICIPATION,5,592,283,309,-6577,-7577,59200,-0.1280,100,8768
