metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6996,4475,2521,-39974,-40974,699600,-0.0586,100,41367
GPM,200,3605,2311,1294,-19813,-20813,360500,-0.0577,100,21244
GPM,300,1643,1051,592,-9805,-10805,164300,-0.0658,100,11471
GPM,400,624,410,214,-2169,-3169,62400,-0.0508,100,5095
GPM,500,246,165,81,446,-554,24600,-0.0225,100,1488
XPM,100,6675,4246,2429,-40669,-41669,667500,-0.0624,100,41808
XPM,200,3385,2121,1264,-25937,-26937,338500,-0.0796,100,27551
XPM,300,1433,888,545,-12046,-13046,143300,-0.0910,100,13174
XPM,400,535,342,193,-2506,-3506,53500,-0.0655,100,3774
XPM,500,187,122,65,18,-982,18700,-0.0525,100,1533
HERO_DAMAGE,5000,7266,4521,2745,-56903,-57903,726600,-0.0797,100,58216
HERO_DAMAGE,10000,4446,2750,1696,-36985,-37985,444600,-0.0854,100,38366
HERO_DAMAGE,15000,2417,1468,949,-23716,-24716,241700,-0.1023,100,24927
HERO_DAMAGE,20000,1148,684,464,-13064,-14064,114800,-0.1225,100,14163
HERO_DAMAGE,25000,509,297,212,-6163,-7163,50900,-0.1407,100,7240
TOWER_DAMAGE,5000,4334,2815,1519,-19115,-20115,433400,-0.0464,100,21066
TOWER_DAMAGE,10000,925,594,331,-4993,-5993,92500,-0.0648,100,6467
TOWER_DAMAGE,15000,99,65,34,538,-462,9900,-0.0467,100,975
TOWER_DAMAGE,20000,2,2,0,1077,77,200,0.3850,100,0
TOWER_DAMAGE,25000,0,0,0,1000,0,0,0.0000,0,0
DAMAGE_TAKEN,10000,7302,4613,2689,-46883,-47883,730200,-0.0656,100,48788
DAMAGE_TAKEN,20000,4324,2716,1608,-29806,-30806,432400,-0.0712,100,31590
DAMAGE_TAKEN,30000,2439,1534,905,-16362,-17362,243900,-0.0712,100,17679
DAMAGE_TAKEN,40000,1320,836,484,-7730,-8730,132000,-0.0661,100,8947
DAMAGE_TAKEN,50000,739,488,251,-1055,-2055,73900,-0.0278,100,2835
TEAM_PARTICIPATION,1,6787,4361,2426,-31978,-32978,678700,-0.0486,100,33110
TEAM_PARTICIPATION,2,3775,2401,1374,-21023,-22023,377500,-0.0583,100,22055
TEAM_PARTICIPATION,3,1829,1182,647,-7991,-8991,182900,-0.0492,100,9075
TEAM_PARTICIPATION,4,719,465,254,-2807,-3807,71900,-0.0529,100,3971
TEAM_PARTICIPATION,5,239,155,84,8,-992,23900,-0.0415,100,2022
