metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,13941,7045,6896,0,-1000,6128,-0.1632,57,1147
GPM,200,7220,3630,3590,0,-1000,4537,-0.2204,51,1021
GPM,300,3236,1652,1584,0,-1000,11426,-0.0875,52,1049
GPM,400,1246,650,596,6,-994,19379,-0.0513,78,1565
GPM,500,445,235,210,109,-891,10768,-0.0827,52,943
XPM,100,13666,6797,6869,0,-1000,6023,-0.1660,52,1044
XPM,200,6909,3402,3507,0,-1000,4976,-0.2010,53,1067
XPM,300,2877,1406,1471,0,-1000,4529,-0.2208,51,1020
XPM,400,1060,548,512,9,-991,6946,-0.1427,51,1003
XPM,500,360,195,165,457,-543,20073,-0.0271,102,1580
HERO_DAMAGE,5000,15607,7497,8110,0,-1000,3813,-0.2623,57,1143
HERO_DAMAGE,10000,9616,4566,5050,0,-1000,3722,-0.2687,55,1093
HERO_DAMAGE,15000,5281,2444,2837,0,-1000,3941,-0.2537,51,1020
HERO_DAMAGE,20000,2556,1161,1395,0,-1000,3630,-0.2755,54,1074
HERO_DAMAGE,25000,1114,504,610,0,-1000,4999,-0.2000,54,1073
TOWER_DAMAGE,5000,8368,4320,4048,0,-1000,21231,-0.0471,82,1646
TOWER_DAMAGE,10000,1763,899,864,0,-1000,12461,-0.0802,70,1400
TOWER_DAMAGE,15000,205,103,102,275,-725,5455,-0.1328,66,1123
TOWER_DAMAGE,20000,7,4,3,1009,9,334,0.0261,50,109
TOWER_DAMAGE,25000,1,0,1,950,-50,50,-1.0000,50,50
DAMAGE_TAKEN,10000,15043,7446,7597,0,-1000,3838,-0.2605,55,1092
DAMAGE_TAKEN,20000,8870,4377,4493,0,-1000,3416,-0.2927,51,1026
DAMAGE_TAKEN,30000,4866,2437,2429,0,-1000,3430,-0.2916,51,1026
DAMAGE_TAKEN,40000,2597,1314,1283,0,-1000,3504,-0.2854,51,1026
DAMAGE_TAKEN,50000,1452,755,697,1,-999,7386,-0.1352,50,999
TEAM_PARTICIPATION,1,15004,7409,7595,0,-1000,7297,-0.1370,58,1163
TEAM_PARTICIPATION,2,8523,4180,4343,0,-1000,17919,-0.0558,57,1147
TEAM_PARTICIPATION,3,4136,2043,2093,0,-1000,15446,-0.0647,54,1078
TEAM_PARTICIPATION,4,1694,814,880,0,-1000,7990,-0.1252,53,1061
TEAM_PARTICIPATION,5,592,283,309,11,-989,13812,-0.0716,84,1668
