metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6470,2333,4137,0.00,-1000.00,4992.73,-0.2003,55.21,1104.19
GPM,200,3367,1202,2165,0.00,-1000.00,3896.77,-0.2566,52.23,1044.56
GPM,300,1480,549,931,0.09,-999.91,7452.21,-0.1342,50.99,1019.76
GPM,400,575,216,359,47.82,-952.18,7530.68,-0.1264,53.68,1029.48
GPM,500,185,64,121,196.82,-803.18,4607.13,-0.1743,50.00,803.18
XPM,100,6494,2300,4194,0.00,-1000.00,4358.22,-0.2295,50.00,1000.00
XPM,200,3274,1153,2121,0.00,-1000.00,3724.38,-0.2685,50.99,1019.82
XPM,300,1343,462,881,0.00,-1000.00,3098.11,-0.3228,50.99,1019.82
XPM,400,483,183,300,72.30,-927.70,4659.62,-0.1991,50.00,953.27
XPM,500,159,65,94,817.34,-182.66,8890.62,-0.0205,86.21,947.40
HERO_DAMAGE,5000,7750,2694,5056,0.00,-1000.00,4032.70,-0.2480,52.05,1040.96
HERO_DAMAGE,10000,4785,1632,3153,0.00,-1000.00,3725.07,-0.2685,50.00,1000.00
HERO_DAMAGE,15000,2659,878,1781,0.00,-1000.00,2695.20,-0.3710,50.99,1019.82
HERO_DAMAGE,20000,1315,434,881,0.00,-1000.00,3354.90,-0.2981,53.68,1073.50
HERO_DAMAGE,25000,570,191,379,3.89,-996.11,5968.33,-0.1669,53.68,1070.22
TOWER_DAMAGE,5000,3708,1349,2359,0.00,-1000.00,12253.91,-0.0816,88.19,1763.74
TOWER_DAMAGE,10000,772,274,498,1.63,-998.37,6304.78,-0.1584,64.32,1285.10
TOWER_DAMAGE,15000,95,32,63,371.18,-628.82,2825.53,-0.2225,62.34,948.70
TOWER_DAMAGE,20000,5,2,3,971.08,-28.92,230.98,-0.1252,50.00,142.63
TOWER_DAMAGE,25000,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
DAMAGE_TAKEN,10000,7188,2533,4655,0.00,-1000.00,4072.71,-0.2455,53.68,1073.50
DAMAGE_TAKEN,20000,4193,1469,2724,0.00,-1000.00,3824.93,-0.2614,50.00,1000.00
DAMAGE_TAKEN,30000,2230,799,1431,0.00,-1000.00,3737.40,-0.2676,50.00,1000.00
DAMAGE_TAKEN,40000,1174,423,751,0.17,-999.83,3406.23,-0.2935,50.00,999.94
DAMAGE_TAKEN,50000,656,236,420,6.63,-993.37,4952.05,-0.2006,53.03,1056.88
TEAM_PARTICIPATION,1,7665,2780,4885,0.00,-1000.00,11731.58,-0.0852,57.35,1146.98
TEAM_PARTICIPATION,2,4436,1638,2798,0.00,-1000.00,38643.79,-0.0259,131.95,2638.91
TEAM_PARTICIPATION,3,2155,795,1360,0.00,-1000.00,29492.62,-0.0339,110.80,2216.00
TEAM_PARTICIPATION,4,912,322,590,0.14,-999.86,8393.91,-0.1191,58.87,1177.24
TEAM_PARTICIPATION,5,323,114,209,26.98,-973.02,8149.02,-0.1194,71.25,1399.35
