metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,2649,1794,855,54070,53070,264900,0.2003,100,2015
GPM,200,1465,972,493,26585,25585,146500,0.1746,100,1500
GPM,300,676,449,227,12535,11535,67600,0.1706,100,2043
GPM,400,283,195,88,6641,5641,28300,0.1993,100,1535
GPM,500,104,66,38,1850,850,10400,0.0817,100,818
XPM,100,2192,1482,710,47665,46665,219200,0.2129,100,1736
XPM,200,1115,755,360,24789,23789,111500,0.2134,100,1600
XPM,300,476,318,158,10574,9574,47600,0.2011,100,1055
XPM,400,168,115,53,4978,3978,16800,0.2368,100,822
XPM,500,52,30,22,1173,173,5200,0.0333,100,542
HERO_DAMAGE,5000,1968,1329,639,44222,43222,196800,0.2196,100,1930
HERO_DAMAGE,10000,1134,754,380,24727,23727,113400,0.2092,100,2919
HERO_DAMAGE,15000,609,397,212,12729,11729,60900,0.1926,100,2725
HERO_DAMAGE,20000,276,175,101,5876,4876,27600,0.1767,100,981
HERO_DAMAGE,25000,118,77,41,3451,2451,11800,0.2077,100,557
TOWER_DAMAGE,5000,1948,1352,596,44247,43247,194800,0.2220,100,785
TOWER_DAMAGE,10000,461,313,148,9235,8235,46100,0.1786,100,949
TOWER_DAMAGE,15000,65,43,22,2012,1012,6500,0.1557,100,701
TOWER_DAMAGE,20000,2,2,0,1257,257,200,1.2850,100,0
TOWER_DAMAGE,25000,0,0,0,1000,0,0,0.0000,0,0
DAMAGE_TAKEN,10000,2018,1422,596,57408,56408,201800,0.2795,100,1164
DAMAGE_TAKEN,20000,1170,823,347,33224,32224,117000,0.2754,100,1159
DAMAGE_TAKEN,30000,628,446,182,18564,17564,62800,0.2797,100,748
DAMAGE_TAKEN,40000,326,236,90,11190,10190,32600,0.3126,100,869
DAMAGE_TAKEN,50000,184,134,50,6043,5043,18400,0.2741,100,632
TEAM_PARTICIPATION,1,2414,1651,763,64381,63381,241400,0.2626,100,1430
TEAM_PARTICIPATION,2,1392,959,433,40314,39314,139200,0.2824,100,890
TEAM_PARTICIPATION,3,678,474,204,20980,19980,67800,0.2947,100,557
TEAM_PARTICIPATION,4,282,192,90,8549,7549,28200,0.2677,100,733
TEAM_PARTICIPATION,5,108,72,36,3517,2517,10800,0.2331,100,385
