metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,1489,1176,313,24191.00,23191.00,148900.00,0.1557,100.00,995.00
GPM,200,813,637,176,13204.00,12204.00,81300.00,0.1501,100.00,788.00
GPM,300,372,294,78,6085.00,5085.00,37200.00,0.1367,100.00,808.00
GPM,400,155,127,28,3570.00,2570.00,15500.00,0.1658,100.00,409.00
GPM,500,55,46,9,2062.00,1062.00,5500.00,0.1931,100.00,100.00
XPM,100,1198,942,256,18539.00,17539.00,119800.00,0.1464,100.00,1023.00
XPM,200,603,477,126,10383.00,9383.00,60300.00,0.1556,100.00,1123.00
XPM,300,252,196,56,4256.00,3256.00,25200.00,0.1292,100.00,608.00
XPM,400,76,64,12,2512.00,1512.00,7600.00,0.1989,100.00,200.00
XPM,500,22,16,6,1021.00,21.00,2200.00,0.0095,100.00,169.00
HERO_DAMAGE,5000,1077,836,241,15892.00,14892.00,107700.00,0.1383,100.00,1174.00
HERO_DAMAGE,10000,614,464,150,7755.00,6755.00,61400.00,0.1100,100.00,896.00
HERO_DAMAGE,15000,326,243,83,4195.00,3195.00,32600.00,0.0980,100.00,659.00
HERO_DAMAGE,20000,140,101,39,1834.00,834.00,14000.00,0.0596,100.00,444.00
HERO_DAMAGE,25000,61,43,18,1169.00,169.00,6100.00,0.0277,100.00,462.00
TOWER_DAMAGE,5000,1118,905,213,21547.00,20547.00,111800.00,0.1838,100.00,959.00
TOWER_DAMAGE,10000,259,208,51,4918.00,3918.00,25900.00,0.1513,100.00,659.00
TOWER_DAMAGE,15000,36,28,8,1314.00,314.00,3600.00,0.0872,100.00,259.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,1117,893,224,19776.00,18776.00,111700.00,0.1681,100.00,1083.00
DAMAGE_TAKEN,20000,648,515,133,10904.00,9904.00,64800.00,0.1528,100.00,872.00
DAMAGE_TAKEN,30000,350,279,71,6544.00,5544.00,35000.00,0.1584,100.00,438.00
DAMAGE_TAKEN,40000,173,144,29,4447.00,3447.00,17300.00,0.1992,100.00,426.00
DAMAGE_TAKEN,50000,106,92,14,3733.00,2733.00,10600.00,0.2578,100.00,342.00
TEAM_PARTICIPATION,1,1267,1001,266,21636.00,20636.00,126700.00,0.1629,100.00,654.00
TEAM_PARTICIPATION,2,723,568,155,12157.00,11157.00,72300.00,0.1543,100.00,625.00
TEAM_PARTICIPATION,3,350,281,69,6931.00,5931.00,35000.00,0.1695,100.00,357.00
TEAM_PARTICIPATION,4,138,111,27,3363.00,2363.00,13800.00,0.1712,100.00,295.00
TEAM_PARTICIPATION,5,51,37,14,1385.00,385.00,5100.00,0.0755,100.00,338.00
