metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,1078,563,515,14914,13914,53900,0.2581,50,821
GPM,200,608,308,300,7374,6374,30400,0.2097,50,1097
GPM,300,281,142,139,4166,3166,14050,0.2254,50,1169
GPM,400,119,62,57,2426,1426,5950,0.2397,50,752
GPM,500,45,17,28,814,-186,2250,-0.0824,50,450
XPM,100,920,492,428,14793,13793,46000,0.2998,50,612
XPM,200,474,253,221,7774,6774,23700,0.2858,50,544
XPM,300,208,112,96,4027,3027,10400,0.2911,50,540
XPM,400,83,45,38,2124,1124,4150,0.2708,50,452
XPM,500,28,13,15,1082,82,1400,0.0589,50,239
HERO_DAMAGE,5000,818,448,370,14620,13620,40900,0.3330,50,754
HERO_DAMAGE,10000,475,261,214,9033,8033,23750,0.3382,50,1041
HERO_DAMAGE,15000,258,136,122,4838,3838,12900,0.2975,50,936
HERO_DAMAGE,20000,125,67,58,2919,1919,6250,0.3070,50,284
HERO_DAMAGE,25000,52,31,21,2112,1112,2600,0.4277,50,104
TOWER_DAMAGE,5000,755,398,357,11540,10540,37750,0.2792,50,578
TOWER_DAMAGE,10000,182,94,88,3137,2137,9100,0.2348,50,436
TOWER_DAMAGE,15000,27,14,13,1356,356,1350,0.2641,50,292
TOWER_DAMAGE,20000,2,2,0,1128,128,100,1.2850,50,0
TOWER_DAMAGE,25000,0,0,0,1000,0,0,0.0000,0,0
DAMAGE_TAKEN,10000,830,478,352,18608,17608,41500,0.4243,50,524
DAMAGE_TAKEN,20000,472,273,199,11396,10396,23600,0.4405,50,566
DAMAGE_TAKEN,30000,249,147,102,6597,5597,12450,0.4496,50,465
DAMAGE_TAKEN,40000,135,81,54,4248,3248,6750,0.4812,50,304
DAMAGE_TAKEN,50000,68,37,31,2192,1192,3400,0.3504,50,322
TEAM_PARTICIPATION,1,1052,589,463,21432,20432,52600,0.3884,50,1119
TEAM_PARTICIPATION,2,622,363,259,14818,13818,31100,0.4443,50,310
TEAM_PARTICIPATION,3,303,178,125,7876,6876,15150,0.4539,50,232
TEAM_PARTICIPATION,4,134,75,59,3534,2534,6700,0.3782,50,250
TEAM_PARTICIPATION,5,51,31,20,1993,993,2550,0.3894,50,150
