metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,10,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,15,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,20,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,25,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,30,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,35,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,40,670,547,123,7467.50,6467.50,33500.00,0.1931,50.00,213.50
WR_DELTA,45,669,546,123,7449.50,6449.50,33450.00,0.1928,50.00,213.50
WR_DELTA,50,669,546,123,7449.50,6449.50,33450.00,0.1928,50.00,213.50
WR_DELTA,75,667,544,123,7407.00,6407.00,33350.00,0.1921,50.00,213.50
WR_DELTA,100,652,532,120,7262.00,6262.00,32600.00,0.1921,50.00,213.50
WR_DELTA,125,586,483,103,7043.00,6043.00,29300.00,0.2062,50.00,189.00
WR_DELTA,150,501,416,85,6271.50,5271.50,25050.00,0.2104,50.00,189.00
WR_DELTA,200,267,229,38,4267.00,3267.00,13350.00,0.2447,50.00,189.00
WR_DELTA,250,113,99,14,2576.00,1576.00,5650.00,0.2789,50.00,110.00
WR_DELTA,300,31,28,3,1552.50,552.50,1550.00,0.3565,50.00,50.00
WR_DELTA,350,9,9,0,1220.50,220.50,450.00,0.4900,50.00,0.00
WR_DELTA,400,3,3,0,1070.00,70.00,150.00,0.4667,50.00,0.00
GPM,200,140,109,31,1860.50,860.50,7000.00,0.1229,50.00,222.50
GPM,400,26,22,4,1279.50,279.50,1300.00,0.2150,50.00,137.00
GPM,600,5,5,0,1097.50,97.50,250.00,0.3900,50.00,0.00
GPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,95,79,16,2047.00,1047.00,4750.00,0.2204,50.00,100.00
XPM,400,10,10,0,1204.00,204.00,500.00,0.4080,50.00,0.00
XPM,600,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,174,136,38,2096.50,1096.50,8700.00,0.1260,50.00,201.50
HERO_DAMAGE,10000,91,72,19,1669.00,669.00,4550.00,0.1470,50.00,227.50
HERO_DAMAGE,15000,36,28,8,1215.00,215.00,1800.00,0.1194,50.00,160.00
HERO_DAMAGE,20000,14,10,4,982.50,-17.50,700.00,-0.0250,50.00,100.00
HERO_DAMAGE,25000,6,4,2,964.00,-36.00,300.00,-0.1200,50.00,86.00
TOWER_DAMAGE,5000,202,168,34,3077.00,2077.00,10100.00,0.2056,50.00,201.00
TOWER_DAMAGE,10000,53,41,12,1272.50,272.50,2650.00,0.1028,50.00,150.00
TOWER_DAMAGE,15000,6,4,2,994.50,-5.50,300.00,-0.0183,50.00,100.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,183,154,29,2969.00,1969.00,9150.00,0.2152,50.00,202.00
DAMAGE_TAKEN,20000,106,89,17,2093.00,1093.00,5300.00,0.2062,50.00,174.50
DAMAGE_TAKEN,30000,50,40,10,1396.50,396.50,2500.00,0.1586,50.00,185.50
DAMAGE_TAKEN,40000,30,23,7,1172.00,172.00,1500.00,0.1147,50.00,208.50
DAMAGE_TAKEN,50000,20,15,5,1100.00,100.00,1000.00,0.1000,50.00,200.00
TEAM_PARTICIPATION,5,10,7,3,1040.00,40.00,500.00,0.0800,50.00,150.00
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
