metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,13941,7045,6896,-13431,-14431,132068,-0.1093,10000,18080
GPM,200,7220,3630,3590,-1054,-2054,38214,-0.0538,4181,7324
GPM,300,3236,1652,1584,178,-822,14022,-0.0586,377,1272
GPM,400,1246,650,596,769,-231,4475,-0.0516,233,543
GPM,500,445,235,210,1017,17,948,0.0178,34,55
XPM,100,13666,6797,6869,-8468,-9468,143540,-0.0660,6765,13415
XPM,200,6909,3402,3507,-8668,-9668,100658,-0.0960,10000,28174
XPM,300,2877,1406,1471,-2664,-3664,81241,-0.0451,6765,13915
XPM,400,1060,548,512,1072,72,4330,0.0166,233,288
XPM,500,360,195,165,1001,1,858,0.0010,21,93
HERO_DAMAGE,5000,15607,7497,8110,-2785,-3785,202707,-0.0187,10000,20946
HERO_DAMAGE,10000,9616,4566,5050,-56727,-57727,314819,-0.1834,10000,65327
HERO_DAMAGE,15000,5281,2444,2837,-33616,-34616,163640,-0.2115,10000,39436
HERO_DAMAGE,20000,2556,1161,1395,6934,5934,115392,0.0514,6765,13645
HERO_DAMAGE,25000,1114,504,610,1235,235,16445,0.0143,610,1214
TOWER_DAMAGE,5000,8368,4320,4048,285,-715,22190,-0.0322,144,1110
TOWER_DAMAGE,10000,1763,899,864,902,-98,3295,-0.0297,34,159
TOWER_DAMAGE,15000,205,103,102,968,-32,415,-0.0779,21,60
TOWER_DAMAGE,20000,7,4,3,1002,2,8,0.1950,2,2
TOWER_DAMAGE,25000,1,0,1,999,-1,1,-1.0000,1,1
DAMAGE_TAKEN,10000,15043,7446,7597,-26141,-27141,175126,-0.1550,10000,39091
DAMAGE_TAKEN,20000,8870,4377,4493,-1091,-2091,32614,-0.0641,610,2382
DAMAGE_TAKEN,30000,4866,2437,2429,275,-725,16620,-0.0436,377,1167
DAMAGE_TAKEN,40000,2597,1314,1283,-10244,-11244,113922,-0.0987,10000,28284
DAMAGE_TAKEN,50000,1452,755,697,776,-224,4859,-0.0460,144,592
TEAM_PARTICIPATION,1,15004,7409,7595,-1663,-2663,89503,-0.0297,4181,7589
TEAM_PARTICIPATION,2,8523,4180,4343,672,-328,35344,-0.0093,987,2411
TEAM_PARTICIPATION,3,4136,2043,2093,-315,-1315,21432,-0.0613,1597,2670
TEAM_PARTICIPATION,4,1694,814,880,903,-97,13936,-0.0070,987,2392
TEAM_PARTICIPATION,5,592,283,309,901,-99,2399,-0.0414,144,283
