metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6470,2333,4137,-2105535.78,-2106535.78,20902421.00,-0.1008,10000.00,2128637.37
GPM,200,3367,1202,2165,-1409733.68,-1410733.68,11386266.00,-0.1239,10000.00,1550513.80
GPM,300,1480,549,931,-267715.73,-268715.73,2549570.00,-0.1054,10000.00,334941.29
GPM,400,575,216,359,36392.74,35392.74,161947.00,0.2185,10000.00,23173.00
GPM,500,185,64,121,1265.24,265.24,4744.00,0.0559,377.00,521.00
XPM,100,6494,2300,4194,-4448947.36,-4449947.36,31892279.00,-0.1395,10000.00,4577772.75
XPM,200,3274,1153,2121,-1050441.15,-1051441.15,10124471.00,-0.1039,10000.00,1244476.55
XPM,300,1343,462,881,-776691.03,-777691.03,5841883.00,-0.1331,10000.00,819442.32
XPM,400,483,183,300,6411.83,5411.83,31916.00,0.1696,987.00,1576.00
XPM,500,159,65,94,1158.93,158.93,574.00,0.2769,21.00,33.00
HERO_DAMAGE,5000,7750,2694,5056,-6652053.79,-6653053.79,45652403.00,-0.1457,10000.00,6685847.88
HERO_DAMAGE,10000,4785,1632,3153,-4929655.12,-4930655.12,31143026.00,-0.1583,10000.00,4962967.23
HERO_DAMAGE,15000,2659,878,1781,-3133903.89,-3134903.89,16264625.00,-0.1927,10000.00,3161492.98
HERO_DAMAGE,20000,1315,434,881,-1755089.46,-1756089.46,8022984.00,-0.2189,10000.00,1814152.81
HERO_DAMAGE,25000,570,191,379,-438025.09,-439025.09,2160525.00,-0.2032,10000.00,526994.98
TOWER_DAMAGE,5000,3708,1349,2359,-480643.25,-481643.25,5809133.00,-0.0829,10000.00,641535.67
TOWER_DAMAGE,10000,772,274,498,-143454.57,-144454.57,1866962.00,-0.0774,10000.00,280623.46
TOWER_DAMAGE,15000,95,32,63,15833.24,14833.24,59656.00,0.2486,10000.00,18231.20
TOWER_DAMAGE,20000,5,2,3,1001.01,1.01,8.00,0.1262,3.00,4.00
TOWER_DAMAGE,25000,1,0,1,999.00,-1.00,1.00,-1.0000,1.00,1.00
DAMAGE_TAKEN,10000,7188,2533,4655,-2758123.80,-2759123.80,25147627.00,-0.1097,10000.00,2863576.30
DAMAGE_TAKEN,20000,4193,1469,2724,-934469.36,-935469.36,12557647.00,-0.0745,10000.00,1006348.26
DAMAGE_TAKEN,30000,2230,799,1431,-922288.44,-923288.44,6640633.00,-0.1390,10000.00,1118843.56
DAMAGE_TAKEN,40000,1174,423,751,-155691.88,-156691.88,1996916.00,-0.0785,10000.00,275661.82
DAMAGE_TAKEN,50000,656,236,420,-286044.11,-287044.11,1830777.00,-0.1568,10000.00,369648.38
TEAM_PARTICIPATION,1,7665,2780,4885,-2099210.29,-2100210.29,21776014.00,-0.0964,10000.00,2198945.69
TEAM_PARTICIPATION,2,4436,1638,2798,-453141.29,-454141.29,8232190.00,-0.0552,10000.00,647946.87
TEAM_PARTICIPATION,3,2155,795,1360,-827596.75,-828596.75,6436713.00,-0.1287,10000.00,962193.61
TEAM_PARTICIPATION,4,912,322,590,-388861.14,-389861.14,2277916.00,-0.1711,10000.00,424462.80
TEAM_PARTICIPATION,5,323,114,209,-26424.51,-27424.51,482348.00,-0.0569,10000.00,68789.28
