metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,2649,1794,855,-1409,-2409,33449,-0.0720,6765,9959
GPM,200,1465,972,493,1599,599,5264,0.1137,987,1596
GPM,300,676,449,227,1093,93,1192,0.0780,55,88
GPM,400,283,195,88,1067,67,345,0.1956,5,14
GPM,500,104,66,38,1006,6,195,0.0308,21,33
XPM,100,2192,1482,710,1612,612,4868,0.1256,377,521
XPM,200,1115,755,360,242,-758,6498,-0.1167,1597,2583
XPM,300,476,318,158,1141,141,722,0.1958,55,88
XPM,400,168,115,53,1047,47,187,0.2528,3,7
XPM,500,52,30,22,1007,7,79,0.0911,8,12
HERO_DAMAGE,5000,1968,1329,639,1688,688,9488,0.0725,987,1596
HERO_DAMAGE,10000,1134,754,380,1358,358,4586,0.0780,987,1595
HERO_DAMAGE,15000,609,397,212,733,-267,2188,-0.1222,377,609
HERO_DAMAGE,20000,276,175,101,1071,71,331,0.2159,5,9
HERO_DAMAGE,25000,118,77,41,1035,35,135,0.2567,3,4
TOWER_DAMAGE,5000,1948,1352,596,1534,534,2261,0.2362,8,17
TOWER_DAMAGE,10000,461,313,148,1096,96,556,0.1718,13,22
TOWER_DAMAGE,15000,65,43,22,1010,10,76,0.1358,5,8
TOWER_DAMAGE,20000,2,2,0,1003,3,2,1.2850,1,0
TOWER_DAMAGE,25000,0,0,0,1000,0,0,0.0000,0,0
DAMAGE_TAKEN,10000,2018,1422,596,1622,622,2616,0.2379,89,143
DAMAGE_TAKEN,20000,1170,823,347,1365,365,1370,0.2661,21,34
DAMAGE_TAKEN,30000,628,446,182,1201,201,759,0.2649,13,20
DAMAGE_TAKEN,40000,326,236,90,1120,120,375,0.3210,8,15
DAMAGE_TAKEN,50000,184,134,50,1061,61,209,0.2935,5,8
TEAM_PARTICIPATION,1,2414,1651,763,1759,759,2839,0.2673,21,33
TEAM_PARTICIPATION,2,1392,959,433,1459,459,1634,0.2808,13,20
TEAM_PARTICIPATION,3,678,474,204,1245,245,777,0.3148,8,12
TEAM_PARTICIPATION,4,282,192,90,1089,89,325,0.2741,5,11
TEAM_PARTICIPATION,5,108,72,36,1031,31,120,0.2565,3,4
