metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,1078,563,515,2086,1086,4267,0.2545,144,232
GPM,200,608,308,300,1389,389,1442,0.2697,21,35
GPM,300,281,142,139,7282,6282,18621,0.3373,2584,3928
GPM,400,119,62,57,1944,944,2333,0.4045,610,986
GPM,500,45,17,28,1060,60,252,0.2373,55,88
XPM,100,920,492,428,1693,693,2159,0.3212,89,143
XPM,200,474,253,221,1313,313,991,0.3161,34,54
XPM,300,208,112,96,1155,155,392,0.3951,13,20
XPM,400,83,45,38,1108,108,240,0.4500,34,54
XPM,500,28,13,15,1007,7,42,0.1767,5,7
HERO_DAMAGE,5000,818,448,370,1734,734,1809,0.4055,89,140
HERO_DAMAGE,10000,475,261,214,1466,466,1483,0.3140,89,141
HERO_DAMAGE,15000,258,136,122,1876,876,5976,0.1465,987,1508
HERO_DAMAGE,20000,125,67,58,1089,89,192,0.4643,5,7
HERO_DAMAGE,25000,52,31,21,1030,30,57,0.5177,2,2
TOWER_DAMAGE,5000,755,398,357,1606,606,1926,0.3145,89,131
TOWER_DAMAGE,10000,182,94,88,1124,124,367,0.3391,13,19
TOWER_DAMAGE,15000,27,14,13,1022,22,46,0.4807,8,12
TOWER_DAMAGE,20000,2,2,0,1003,3,2,1.2850,1,0
TOWER_DAMAGE,25000,0,0,0,1000,0,0,0.0000,0,0
DAMAGE_TAKEN,10000,830,478,352,1579,579,1410,0.4105,55,88
DAMAGE_TAKEN,20000,472,273,199,1317,317,748,0.4241,21,32
DAMAGE_TAKEN,30000,249,147,102,1173,173,460,0.3759,34,52
DAMAGE_TAKEN,40000,135,81,54,1088,88,183,0.4816,8,12
DAMAGE_TAKEN,50000,68,37,31,1041,41,104,0.3950,8,12
TEAM_PARTICIPATION,1,1052,589,463,1953,953,2315,0.4117,34,50
TEAM_PARTICIPATION,2,622,363,259,1497,497,934,0.5324,13,20
TEAM_PARTICIPATION,3,303,178,125,1217,217,391,0.5557,5,7
TEAM_PARTICIPATION,4,134,75,59,1072,72,181,0.3980,8,12
TEAM_PARTICIPATION,5,51,31,20,1026,26,60,0.4417,3,4
