metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,3856,3088,768,1715.86,715.86,4071.00,0.1758,8.00,12.55
WR_DELTA,10,3853,3086,767,1715.93,715.93,4068.00,0.1760,8.00,12.55
WR_DELTA,15,3849,3082,767,1711.55,711.55,4074.00,0.1747,8.00,12.55
WR_DELTA,20,3840,3075,765,1710.50,710.50,4064.00,0.1748,8.00,12.55
WR_DELTA,25,3834,3069,765,1707.02,707.02,4058.00,0.1742,8.00,12.55
WR_DELTA,30,3824,3062,762,1706.04,706.04,4048.00,0.1744,8.00,12.55
WR_DELTA,35,3808,3050,758,1702.67,702.67,4034.00,0.1742,8.00,12.55
WR_DELTA,40,3780,3028,752,1697.44,697.44,4002.00,0.1743,8.00,12.55
WR_DELTA,45,3738,3001,737,1698.59,698.59,3951.00,0.1768,8.00,12.55
WR_DELTA,50,3697,2971,726,1694.40,694.40,3911.00,0.1776,8.00,12.55
WR_DELTA,75,3368,2733,635,1665.77,665.77,3537.00,0.1882,8.00,12.55
WR_DELTA,100,2756,2272,484,1593.80,593.80,2853.00,0.2081,5.00,7.24
WR_DELTA,125,2032,1687,345,1454.13,454.13,2096.00,0.2167,3.00,5.12
WR_DELTA,150,1407,1188,219,1331.61,331.61,1445.00,0.2295,3.00,5.49
WR_DELTA,200,540,467,73,1141.06,141.06,551.00,0.2560,2.00,3.70
WR_DELTA,250,168,150,18,1046.78,46.78,169.00,0.2768,2.00,2.00
WR_DELTA,300,44,40,4,1014.02,14.02,44.00,0.3186,1.00,1.00
WR_DELTA,350,12,12,0,1005.21,5.21,12.00,0.4342,1.00,0.00
WR_DELTA,400,3,3,0,1001.40,1.40,3.00,0.4667,1.00,0.00
GPM,200,813,637,176,1111.52,111.52,949.00,0.1175,21.00,33.00
GPM,400,155,127,28,1027.53,27.53,163.00,0.1689,3.00,4.00
GPM,600,13,10,3,1000.55,0.55,13.00,0.0423,1.00,1.43
GPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
GPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,200,603,477,126,1089.60,89.60,683.00,0.1312,13.00,20.00
XPM,400,76,64,12,1015.53,15.53,77.00,0.2017,2.00,2.00
XPM,600,2,1,1,999.48,-0.52,2.00,-0.2600,1.00,1.00
XPM,800,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
XPM,1200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
HERO_DAMAGE,5000,1077,836,241,1057.66,57.66,1499.00,0.0385,89.00,144.26
HERO_DAMAGE,10000,614,464,150,1044.44,44.44,784.00,0.0567,34.00,54.00
HERO_DAMAGE,15000,326,243,83,1031.76,31.76,368.00,0.0863,8.00,12.00
HERO_DAMAGE,20000,140,101,39,1011.73,11.73,155.00,0.0757,3.00,4.86
HERO_DAMAGE,25000,61,43,18,1002.93,2.93,67.00,0.0437,3.00,4.87
TOWER_DAMAGE,5000,1118,905,213,1212.70,212.70,1173.00,0.1813,8.00,15.77
TOWER_DAMAGE,10000,259,208,51,1041.74,41.74,274.00,0.1523,3.00,5.10
TOWER_DAMAGE,15000,36,28,8,1003.19,3.19,37.00,0.0862,2.00,2.54
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,1117,893,224,1181.10,181.10,1243.00,0.1457,21.00,33.74
DAMAGE_TAKEN,20000,648,515,133,1100.20,100.20,699.00,0.1433,8.00,14.73
DAMAGE_TAKEN,30000,350,279,71,1059.79,59.79,366.00,0.1634,3.00,4.10
DAMAGE_TAKEN,40000,173,144,29,1035.72,35.72,180.00,0.1984,3.00,4.96
DAMAGE_TAKEN,50000,106,92,14,1027.60,27.60,107.00,0.2579,2.00,3.15
TEAM_PARTICIPATION,5,51,37,14,1004.80,4.80,53.00,0.0906,2.00,3.03
TEAM_PARTICIPATION,10,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,15,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,20,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TEAM_PARTICIPATION,25,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
