strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,21586,13383,8203,62.00,278655.00,277655.00,2158600.00,0.1286,2489.00,100.00
Flat100,none,any,WR_DELTA,10,20635,12902,7733,62.52,282693.00,281693.00,2063500.00,0.1365,2370.00,100.00
Flat100,none,any,WR_DELTA,15,19706,12420,7286,63.03,288585.00,287585.00,1970600.00,0.1459,2223.00,100.00
Flat100,none,any,WR_DELTA,20,18842,11960,6882,63.48,291737.00,290737.00,1884200.00,0.1543,2356.00,100.00
Flat100,none,any,WR_DELTA,25,17861,11422,6439,63.95,289853.00,288853.00,1786100.00,0.1617,2545.00,100.00
Flat100,none,any,WR_DELTA,30,681,370,311,54.33,0.00,-1000.00,67568.68,-0.0148,2674.00,100.00
Flat100,none,any,WR_DELTA,35,16064,10419,5645,64.86,284128.00,283128.00,1606400.00,0.1762,2387.00,100.00
Flat100,none,any,WR_DELTA,40,15193,9918,5275,65.28,276900.00,275900.00,1519300.00,0.1816,2437.00,100.00
Flat100,none,any,WR_DELTA,45,14337,9416,4921,65.68,270564.00,269564.00,1433700.00,0.1880,2046.00,100.00
Flat100,none,any,WR_DELTA,50,13529,8956,4573,66.20,268782.00,267782.00,1352900.00,0.1979,1842.00,100.00
Flat100,none,any,WR_DELTA,75,9936,6855,3081,68.99,244377.00,243377.00,993600.00,0.2449,1567.00,100.00
Flat100,none,any,WR_DELTA,100,6785,4876,1909,71.86,197650.00,196650.00,678500.00,0.2898,1325.00,100.00
Flat100,none,any,WR_DELTA,125,4435,3288,1147,74.14,147944.00,146944.00,443500.00,0.3313,1475.00,100.00
Flat100,none,any,WR_DELTA,150,2761,2128,633,77.07,104268.00,103268.00,276100.00,0.3740,1222.00,100.00
Flat100,none,any,WR_DELTA,200,938,771,167,82.20,44469.00,43469.00,93800.00,0.4634,479.00,100.00
Flat100,none,any,WR_DELTA,250,283,240,43,84.81,16151.00,15151.00,28300.00,0.5354,276.00,100.00
Flat100,none,any,WR_DELTA,300,70,62,8,88.57,5355.00,4355.00,7000.00,0.6221,200.00,100.00
Flat100,none,any,WR_DELTA,350,20,20,0,100.00,2800.00,1800.00,2000.00,0.9000,0.00,100.00
Flat100,none,any,WR_DELTA,400,3,3,0,100.00,1140.00,140.00,300.00,0.4667,0.00,100.00
Flat100,none,any,GPM,200,44,18,26,40.91,0.00,-1000.00,4226.80,-0.2366,1067.00,100.00
Flat100,none,any,GPM,400,22,8,14,36.36,0.00,-1000.00,2074.37,-0.4821,1147.00,100.00
Flat100,none,any,GPM,600,131,73,58,55.73,345.00,-655.00,13100.00,-0.0500,1440.00,100.00
Flat100,none,any,GPM,800,14,4,10,28.57,194.00,-806.00,1400.00,-0.5757,806.00,100.00
