metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,14227,7193,7034,-120875.00,-121875.00,1422700.00,-0.0857,100.00,122361.00
GPM,200,7557,3802,3755,-69244.00,-70244.00,755700.00,-0.0930,100.00,70862.00
GPM,300,3525,1791,1734,-28021.00,-29021.00,352500.00,-0.0823,100.00,29588.00
GPM,400,1463,759,704,-8791.00,-9791.00,146300.00,-0.0669,100.00,11185.00
GPM,500,523,279,244,-1979.00,-2979.00,52300.00,-0.0570,100.00,4047.00
XPM,100,13986,6971,7015,-127099.00,-128099.00,1398600.00,-0.0916,100.00,128390.00
XPM,200,7296,3619,3677,-69636.00,-70636.00,729600.00,-0.0968,100.00,71592.00
XPM,300,3184,1544,1640,-37852.00,-38852.00,318400.00,-0.1220,100.00,39515.00
XPM,400,1247,630,617,-9781.00,-10781.00,124700.00,-0.0865,100.00,11083.00
XPM,500,438,232,206,-659.00,-1659.00,43800.00,-0.0379,100.00,3422.00
HERO_DAMAGE,5000,15738,7592,8146,-169575.00,-170575.00,1573800.00,-0.1084,100.00,171110.00
HERO_DAMAGE,10000,9890,4653,5237,-126976.00,-127976.00,989000.00,-0.1294,100.00,128681.00
HERO_DAMAGE,15000,5546,2568,2978,-76775.00,-77775.00,554600.00,-0.1402,100.00,77828.00
HERO_DAMAGE,20000,2747,1276,1471,-34062.00,-35062.00,274700.00,-0.1276,100.00,36176.00
HERO_DAMAGE,25000,1233,566,667,-17590.00,-18590.00,123300.00,-0.1508,100.00,18898.00
TOWER_DAMAGE,5000,8745,4531,4214,-64745.00,-65745.00,874500.00,-0.0752,100.00,67283.00
TOWER_DAMAGE,10000,1999,1016,983,-17990.00,-18990.00,199900.00,-0.0950,100.00,19910.00
TOWER_DAMAGE,15000,269,139,130,-473.00,-1473.00,26900.00,-0.0548,100.00,3398.00
TOWER_DAMAGE,20000,15,7,8,694.00,-306.00,1500.00,-0.2040,100.00,545.00
TOWER_DAMAGE,25000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
DAMAGE_TAKEN,10000,15328,7581,7747,-143479.00,-144479.00,1532800.00,-0.0943,100.00,145658.00
DAMAGE_TAKEN,20000,9276,4578,4698,-89023.00,-90023.00,927600.00,-0.0970,100.00,90620.00
DAMAGE_TAKEN,30000,5305,2650,2655,-47937.00,-48937.00,530500.00,-0.0922,100.00,49686.00
DAMAGE_TAKEN,40000,2949,1491,1458,-24172.00,-25172.00,294900.00,-0.0854,100.00,26598.00
DAMAGE_TAKEN,50000,1735,888,847,-13410.00,-14410.00,173500.00,-0.0831,100.00,15541.00
TEAM_PARTICIPATION,1,15277,7543,7734,-114537.00,-115537.00,1527700.00,-0.0756,100.00,115866.00
TEAM_PARTICIPATION,2,8973,4426,4547,-65527.00,-66527.00,897300.00,-0.0741,100.00,67442.00
TEAM_PARTICIPATION,3,4577,2244,2333,-36116.00,-37116.00,457700.00,-0.0811,100.00,37249.00
TEAM_PARTICIPATION,4,2017,969,1048,-20840.00,-21840.00,201700.00,-0.1083,100.00,22333.00
TEAM_PARTICIPATION,5,760,377,383,-4920.00,-5920.00,76000.00,-0.0779,100.00,7314.00
