metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6601,2385,4216,-75507.00,-76507.00,660100.00,-0.1159,100.00,77171.00
GPM,200,3503,1252,2251,-43762.00,-44762.00,350300.00,-0.1278,100.00,45485.00
GPM,300,1625,599,1026,-15012.00,-16012.00,162500.00,-0.0985,100.00,16413.00
GPM,400,661,247,414,-3998.00,-4998.00,66100.00,-0.0756,100.00,6350.00
GPM,500,222,79,143,-1307.00,-2307.00,22200.00,-0.1039,100.00,2388.00
XPM,100,6651,2368,4283,-83293.00,-84293.00,665100.00,-0.1267,100.00,84763.00
XPM,200,3435,1225,2210,-40951.00,-41951.00,343500.00,-0.1221,100.00,42663.00
XPM,300,1494,516,978,-22308.00,-23308.00,149400.00,-0.1560,100.00,23717.00
XPM,400,564,206,358,-4670.00,-5670.00,56400.00,-0.1005,100.00,7055.00
XPM,500,190,76,114,948.00,-52.00,19000.00,-0.0027,100.00,1553.00
HERO_DAMAGE,5000,7767,2712,5055,-105292.00,-106292.00,776700.00,-0.1369,100.00,106714.00
HERO_DAMAGE,10000,4941,1664,3277,-81501.00,-82501.00,494100.00,-0.1670,100.00,83014.00
HERO_DAMAGE,15000,2795,925,1870,-48330.00,-49330.00,279500.00,-0.1765,100.00,49792.00
HERO_DAMAGE,20000,1414,483,931,-19470.00,-20470.00,141400.00,-0.1448,100.00,21830.00
HERO_DAMAGE,25000,622,205,417,-10347.00,-11347.00,62200.00,-0.1824,100.00,11848.00
TOWER_DAMAGE,5000,3898,1427,2471,-42777.00,-43777.00,389800.00,-0.1123,100.00,45665.00
TOWER_DAMAGE,10000,880,310,570,-10971.00,-11971.00,88000.00,-0.1360,100.00,12557.00
TOWER_DAMAGE,15000,125,44,81,-209.00,-1209.00,12500.00,-0.0967,100.00,2474.00
TOWER_DAMAGE,20000,8,2,6,657.00,-343.00,800.00,-0.4288,100.00,500.00
TOWER_DAMAGE,25000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
DAMAGE_TAKEN,10000,7333,2586,4747,-94716.00,-95716.00,733300.00,-0.1305,100.00,97078.00
DAMAGE_TAKEN,20000,4389,1535,2854,-58199.00,-59199.00,438900.00,-0.1349,100.00,59977.00
DAMAGE_TAKEN,30000,2446,871,1575,-29336.00,-30336.00,244600.00,-0.1240,100.00,31542.00
DAMAGE_TAKEN,40000,1336,480,856,-14409.00,-15409.00,133600.00,-0.1153,100.00,17786.00
DAMAGE_TAKEN,50000,782,278,504,-9219.00,-10219.00,78200.00,-0.1307,100.00,11491.00
TEAM_PARTICIPATION,1,7788,2836,4952,-72808.00,-73808.00,778800.00,-0.0948,100.00,74936.00
TEAM_PARTICIPATION,2,4677,1715,2962,-42449.00,-43449.00,467700.00,-0.0929,100.00,46283.00
TEAM_PARTICIPATION,3,2421,889,1532,-22915.00,-23915.00,242100.00,-0.0988,100.00,25536.00
TEAM_PARTICIPATION,4,1095,393,702,-14449.00,-15449.00,109500.00,-0.1411,100.00,16550.00
TEAM_PARTICIPATION,5,412,155,257,-3451.00,-4451.00,41200.00,-0.1080,100.00,6040.00
