metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,7137,4561,2576,-41555.00,-42555.00,713700.00,-0.0596,100.00,42878.00
GPM,200,3791,2425,1366,-21497.00,-22497.00,379100.00,-0.0593,100.00,22873.00
GPM,300,1765,1129,636,-10251.00,-11251.00,176500.00,-0.0637,100.00,12313.00
GPM,400,747,484,263,-3507.00,-4507.00,74700.00,-0.0603,100.00,6114.00
GPM,500,284,193,91,725.00,-275.00,28400.00,-0.0097,100.00,2062.00
XPM,100,6825,4341,2484,-40681.00,-41681.00,682500.00,-0.0611,100.00,41820.00
XPM,200,3593,2254,1339,-27000.00,-28000.00,359300.00,-0.0779,100.00,28502.00
XPM,300,1571,965,606,-14389.00,-15389.00,157100.00,-0.0980,100.00,15595.00
XPM,400,638,399,239,-4277.00,-5277.00,63800.00,-0.0827,100.00,5383.00
XPM,500,231,148,83,-401.00,-1401.00,23100.00,-0.0606,100.00,1919.00
HERO_DAMAGE,5000,7381,4595,2786,-57459.00,-58459.00,738100.00,-0.0792,100.00,58772.00
HERO_DAMAGE,10000,4552,2803,1749,-39475.00,-40475.00,455200.00,-0.0889,100.00,40856.00
HERO_DAMAGE,15000,2530,1538,992,-24933.00,-25933.00,253000.00,-0.1025,100.00,26029.00
HERO_DAMAGE,20000,1227,742,485,-12493.00,-13493.00,122700.00,-0.1100,100.00,13592.00
HERO_DAMAGE,25000,572,344,228,-5514.00,-6514.00,57200.00,-0.1139,100.00,6591.00
TOWER_DAMAGE,5000,4509,2939,1570,-17918.00,-18918.00,450900.00,-0.0420,100.00,20070.00
TOWER_DAMAGE,10000,1038,667,371,-5184.00,-6184.00,103800.00,-0.0596,100.00,6984.00
TOWER_DAMAGE,15000,132,88,44,635.00,-365.00,13200.00,-0.0277,100.00,1045.00
TOWER_DAMAGE,20000,7,5,2,1037.00,37.00,700.00,0.0529,100.00,100.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,7438,4693,2745,-48375.00,-49375.00,743800.00,-0.0664,100.00,50461.00
DAMAGE_TAKEN,20000,4526,2845,1681,-30635.00,-31635.00,452600.00,-0.0699,100.00,32768.00
DAMAGE_TAKEN,30000,2650,1664,986,-18153.00,-19153.00,265000.00,-0.0723,100.00,19565.00
DAMAGE_TAKEN,40000,1493,948,545,-8515.00,-9515.00,149300.00,-0.0637,100.00,9934.00
DAMAGE_TAKEN,50000,887,576,311,-2930.00,-3930.00,88700.00,-0.0443,100.00,4430.00
TEAM_PARTICIPATION,1,6930,4442,2488,-34271.00,-35271.00,693000.00,-0.0509,100.00,35545.00
TEAM_PARTICIPATION,2,3970,2559,1411,-17826.00,-18826.00,397000.00,-0.0474,100.00,18990.00
TEAM_PARTICIPATION,3,1999,1285,714,-9562.00,-10562.00,199900.00,-0.0528,100.00,10877.00
TEAM_PARTICIPATION,4,844,544,300,-3569.00,-4569.00,84400.00,-0.0541,100.00,4621.00
TEAM_PARTICIPATION,5,316,208,108,127.00,-873.00,31600.00,-0.0276,100.00,1703.00
