metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,14227,7193,7034,0.00,-1000.00,7313.98,-0.1367,57.37,1147.35
GPM,200,7557,3802,3755,0.00,-1000.00,4818.20,-0.2075,56.14,1122.74
GPM,300,3525,1791,1734,0.00,-1000.00,11559.82,-0.0865,53.15,1062.90
GPM,400,1463,759,704,1.18,-998.82,16175.02,-0.0618,56.54,1129.66
GPM,500,523,279,244,117.69,-882.31,13986.06,-0.0631,72.96,1343.26
XPM,100,13986,6971,7015,0.00,-1000.00,5690.95,-0.1757,52.18,1043.50
XPM,200,7296,3619,3677,0.00,-1000.00,5507.65,-0.1816,53.37,1067.34
XPM,300,3184,1544,1640,0.00,-1000.00,3776.63,-0.2648,50.99,1019.82
XPM,400,1247,630,617,0.92,-999.08,5310.87,-0.1881,52.88,1056.66
XPM,500,438,232,206,250.54,-749.46,20210.67,-0.0371,82.26,1394.72
HERO_DAMAGE,5000,15738,7592,8146,0.00,-1000.00,3893.26,-0.2569,57.15,1143.00
HERO_DAMAGE,10000,9890,4653,5237,0.00,-1000.00,4371.54,-0.2288,58.72,1174.42
HERO_DAMAGE,15000,5546,2568,2978,0.00,-1000.00,4156.70,-0.2406,50.99,1019.83
HERO_DAMAGE,20000,2747,1276,1471,0.00,-1000.00,3840.77,-0.2604,50.99,1019.82
HERO_DAMAGE,25000,1233,566,667,0.02,-999.98,4623.49,-0.2163,53.68,1073.48
TOWER_DAMAGE,5000,8745,4531,4214,0.00,-1000.00,22203.50,-0.0450,81.54,1630.76
TOWER_DAMAGE,10000,1999,1016,983,0.01,-999.99,14229.70,-0.0703,69.67,1393.36
TOWER_DAMAGE,15000,269,139,130,327.94,-672.06,8315.21,-0.0808,72.29,1229.25
TOWER_DAMAGE,20000,15,7,8,844.54,-155.46,663.06,-0.2345,50.80,250.25
TOWER_DAMAGE,25000,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
DAMAGE_TAKEN,10000,15328,7581,7747,0.00,-1000.00,4268.80,-0.2343,54.59,1091.86
DAMAGE_TAKEN,20000,9276,4578,4698,0.00,-1000.00,4355.74,-0.2296,51.30,1026.00
DAMAGE_TAKEN,30000,5305,2650,2655,0.00,-1000.00,3488.22,-0.2867,51.30,1026.00
DAMAGE_TAKEN,40000,2949,1491,1458,0.00,-1000.00,3406.60,-0.2935,51.30,1026.00
DAMAGE_TAKEN,50000,1735,888,847,0.09,-999.91,5493.92,-0.1820,50.00,999.94
TEAM_PARTICIPATION,1,15277,7543,7734,0.00,-1000.00,7991.57,-0.1251,58.14,1162.72
TEAM_PARTICIPATION,2,8973,4426,4547,0.00,-1000.00,19133.34,-0.0523,64.09,1281.88
TEAM_PARTICIPATION,3,4577,2244,2333,0.00,-1000.00,14318.12,-0.0698,50.00,1000.00
TEAM_PARTICIPATION,4,2017,969,1048,0.00,-1000.00,9753.53,-0.1025,56.31,1126.12
TEAM_PARTICIPATION,5,760,377,383,19.72,-980.28,21322.82,-0.0460,77.63,1533.40
