metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6601,2385,4216,0.00,-1000.00,6295.01,-0.1589,58.38,1167.68
GPM,200,3503,1252,2251,0.00,-1000.00,3976.18,-0.2515,55.75,1115.07
GPM,300,1625,599,1026,0.02,-999.98,8358.80,-0.1196,53.17,1063.37
GPM,400,661,247,414,22.46,-977.54,6535.22,-0.1496,53.68,1057.19
GPM,500,222,79,143,200.63,-799.37,5144.22,-0.1554,50.00,799.37
XPM,100,6651,2368,4283,0.00,-1000.00,4124.82,-0.2424,50.00,1000.00
XPM,200,3435,1225,2210,0.00,-1000.00,3537.74,-0.2827,50.99,1019.82
XPM,300,1494,516,978,0.00,-1000.00,3054.16,-0.3274,50.99,1019.82
XPM,400,564,206,358,19.29,-980.71,3374.27,-0.2906,52.30,1033.08
XPM,500,190,76,114,666.19,-333.81,10218.35,-0.0327,87.04,1074.68
HERO_DAMAGE,5000,7767,2712,5055,0.00,-1000.00,4304.27,-0.2323,52.05,1040.96
HERO_DAMAGE,10000,4941,1664,3277,0.00,-1000.00,4416.28,-0.2264,54.35,1087.00
HERO_DAMAGE,15000,2795,925,1870,0.00,-1000.00,3015.98,-0.3316,50.99,1019.82
HERO_DAMAGE,20000,1414,483,931,0.00,-1000.00,3336.27,-0.2997,50.99,1019.82
HERO_DAMAGE,25000,622,205,417,1.06,-998.94,4266.71,-0.2341,53.68,1072.61
TOWER_DAMAGE,5000,3898,1427,2471,0.00,-1000.00,13313.81,-0.0751,91.98,1839.59
TOWER_DAMAGE,10000,880,310,570,0.49,-999.51,6801.87,-0.1469,58.05,1160.50
TOWER_DAMAGE,15000,125,44,81,412.24,-587.76,4115.23,-0.1428,65.08,969.37
TOWER_DAMAGE,20000,8,2,6,832.58,-167.42,344.95,-0.4853,50.00,226.22
TOWER_DAMAGE,25000,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
DAMAGE_TAKEN,10000,7333,2586,4747,0.00,-1000.00,4912.80,-0.2035,53.68,1073.50
DAMAGE_TAKEN,20000,4389,1535,2854,0.00,-1000.00,4515.35,-0.2215,50.00,1000.00
DAMAGE_TAKEN,30000,2446,871,1575,0.00,-1000.00,3504.28,-0.2854,50.00,1000.00
DAMAGE_TAKEN,40000,1336,480,856,0.04,-999.96,2801.31,-0.3570,50.00,999.99
DAMAGE_TAKEN,50000,782,278,504,1.44,-998.56,4631.78,-0.2156,50.00,999.20
TEAM_PARTICIPATION,1,7788,2836,4952,0.00,-1000.00,12393.73,-0.0807,57.35,1146.98
TEAM_PARTICIPATION,2,4677,1715,2962,0.00,-1000.00,30263.78,-0.0330,135.34,2706.87
TEAM_PARTICIPATION,3,2421,889,1532,0.00,-1000.00,22025.52,-0.0454,78.98,1579.63
TEAM_PARTICIPATION,4,1095,393,702,0.06,-999.94,10299.98,-0.0971,68.96,1379.20
TEAM_PARTICIPATION,5,412,155,257,52.44,-947.56,14041.28,-0.0675,98.00,1907.69
