metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,7137,4561,2576,0.00,-1000.00,12308.42,-0.0812,51.50,1030.00
GPM,200,3791,2425,1366,0.00,-1000.00,10759.61,-0.0929,52.99,1059.87
GPM,300,1765,1129,636,1.11,-998.89,20349.22,-0.0491,62.56,1250.32
GPM,400,747,484,263,64.47,-935.53,21048.50,-0.0444,89.89,1738.56
GPM,500,284,193,91,729.32,-270.68,17746.42,-0.0153,105.63,1454.21
XPM,100,6825,4341,2484,0.00,-1000.00,12807.01,-0.0781,50.15,1002.97
XPM,200,3593,2254,1339,0.00,-1000.00,12841.56,-0.0779,52.63,1052.53
XPM,300,1571,965,606,0.15,-999.85,9712.26,-0.1029,50.55,1010.86
XPM,400,638,399,239,46.18,-953.82,12466.40,-0.0765,50.55,966.62
XPM,500,231,148,83,424.86,-575.14,9767.00,-0.0589,58.54,764.50
HERO_DAMAGE,5000,7381,4595,2786,0.00,-1000.00,6135.98,-0.1630,54.90,1098.03
HERO_DAMAGE,10000,4552,2803,1749,0.00,-1000.00,7927.52,-0.1261,56.77,1135.36
HERO_DAMAGE,15000,2530,1538,992,0.00,-1000.00,12278.31,-0.0814,52.27,1045.37
HERO_DAMAGE,20000,1227,742,485,0.49,-999.51,10623.33,-0.0941,50.55,1010.52
HERO_DAMAGE,25000,572,344,228,25.60,-974.40,8872.32,-0.1098,50.00,975.35
TOWER_DAMAGE,5000,4509,2939,1570,0.00,-1000.00,21489.34,-0.0465,68.51,1370.28
TOWER_DAMAGE,10000,1038,667,371,22.76,-977.24,19017.40,-0.0514,70.90,1395.74
TOWER_DAMAGE,15000,132,88,44,766.02,-233.98,5524.48,-0.0424,56.41,501.62
TOWER_DAMAGE,20000,7,5,2,1014.36,14.36,350.46,0.0410,52.09,52.09
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,7438,4693,2745,0.00,-1000.00,4778.14,-0.2093,50.00,1000.00
DAMAGE_TAKEN,20000,4526,2845,1681,0.00,-1000.00,6897.22,-0.1450,51.30,1026.00
DAMAGE_TAKEN,30000,2650,1664,986,0.01,-999.99,7048.92,-0.1419,51.86,1037.28
DAMAGE_TAKEN,40000,1493,948,545,3.11,-996.89,9881.24,-0.1009,51.86,1034.55
DAMAGE_TAKEN,50000,887,576,311,77.84,-922.16,10264.38,-0.0898,50.00,929.75
TEAM_PARTICIPATION,1,6930,4442,2488,0.00,-1000.00,13395.89,-0.0746,53.35,1067.08
TEAM_PARTICIPATION,2,3970,2559,1411,0.01,-999.99,12767.63,-0.0783,53.35,1067.07
TEAM_PARTICIPATION,3,1999,1285,714,1.33,-998.67,25203.75,-0.0396,50.00,998.69
TEAM_PARTICIPATION,4,844,544,300,58.14,-941.86,13167.07,-0.0715,50.06,944.29
TEAM_PARTICIPATION,5,316,208,108,525.06,-474.94,13790.07,-0.0344,62.42,739.10
