metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,951,525,426,34086.00,33086.00,95100.00,0.3479,100.00,1325.00
GPM,200,526,283,243,16689.00,15689.00,52600.00,0.2983,100.00,1609.00
GPM,300,245,131,114,8444.00,7444.00,24500.00,0.3038,100.00,909.00
GPM,400,104,58,46,4878.00,3878.00,10400.00,0.3729,100.00,882.00
GPM,500,40,19,21,1621.00,621.00,4000.00,0.1552,100.00,582.00
XPM,100,845,483,362,34525.00,33525.00,84500.00,0.3967,100.00,1000.00
XPM,200,424,233,191,15595.00,14595.00,42400.00,0.3442,100.00,826.00
XPM,300,185,104,81,8289.00,7289.00,18500.00,0.3940,100.00,506.00
XPM,400,78,45,33,4231.00,3231.00,7800.00,0.4142,100.00,500.00
XPM,500,25,13,12,1476.00,476.00,2500.00,0.1904,100.00,505.00
HERO_DAMAGE,5000,818,465,353,33596.00,32596.00,81800.00,0.3985,100.00,1100.00
HERO_DAMAGE,10000,516,288,228,20185.00,19185.00,51600.00,0.3718,100.00,1150.00
HERO_DAMAGE,15000,277,150,127,10241.00,9241.00,27700.00,0.3336,100.00,1618.00
HERO_DAMAGE,20000,134,81,53,6913.00,5913.00,13400.00,0.4413,100.00,944.00
HERO_DAMAGE,25000,56,40,16,4668.00,3668.00,5600.00,0.6550,100.00,514.00
TOWER_DAMAGE,5000,631,370,261,27012.00,26012.00,63100.00,0.4122,100.00,715.00
TOWER_DAMAGE,10000,150,87,63,6832.00,5832.00,15000.00,0.3888,100.00,500.00
TOWER_DAMAGE,15000,13,6,7,1264.00,264.00,1300.00,0.2031,100.00,404.00
TOWER_DAMAGE,20000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,814,483,331,39945.00,38945.00,81400.00,0.4784,100.00,933.00
DAMAGE_TAKEN,20000,465,275,190,22791.00,21791.00,46500.00,0.4686,100.00,812.00
DAMAGE_TAKEN,30000,266,156,110,12628.00,11628.00,26600.00,0.4371,100.00,896.00
DAMAGE_TAKEN,40000,155,90,65,7705.00,6705.00,15500.00,0.4326,100.00,881.00
DAMAGE_TAKEN,50000,84,46,38,4016.00,3016.00,8400.00,0.3590,100.00,770.00
TEAM_PARTICIPATION,1,1084,629,455,49384.00,48384.00,108400.00,0.4463,100.00,814.00
TEAM_PARTICIPATION,2,651,372,279,27625.00,26625.00,65100.00,0.4090,100.00,714.00
TEAM_PARTICIPATION,3,328,191,137,14430.00,13430.00,32800.00,0.4095,100.00,802.00
TEAM_PARTICIPATION,4,148,87,61,7138.00,6138.00,14800.00,0.4147,100.00,505.00
TEAM_PARTICIPATION,5,60,37,23,3716.00,2716.00,6000.00,0.4527,100.00,300.00
