metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,1435,1130,305,22716.00,21716.00,143500.00,0.1513,100.00,993.00
GPM,200,802,630,172,12562.00,11562.00,80200.00,0.1442,100.00,1118.00
GPM,300,370,292,78,6073.00,5073.00,37000.00,0.1371,100.00,888.00
GPM,400,173,141,32,3823.00,2823.00,17300.00,0.1632,100.00,507.00
GPM,500,68,56,12,2198.00,1198.00,6800.00,0.1762,100.00,200.00
XPM,100,1205,963,242,21306.00,20306.00,120500.00,0.1685,100.00,792.00
XPM,200,622,497,125,10888.00,9888.00,62200.00,0.1590,100.00,723.00
XPM,300,252,197,55,4504.00,3504.00,25200.00,0.1390,100.00,740.00
XPM,400,98,79,19,2600.00,1600.00,9800.00,0.1633,100.00,283.00
XPM,500,40,29,11,1242.00,242.00,4000.00,0.0605,100.00,300.00
HERO_DAMAGE,5000,1110,884,226,19074.00,18074.00,111000.00,0.1628,100.00,907.00
HERO_DAMAGE,10000,667,529,138,11352.00,10352.00,66700.00,0.1552,100.00,1046.00
HERO_DAMAGE,15000,359,277,82,5369.00,4369.00,35900.00,0.1217,100.00,485.00
HERO_DAMAGE,20000,160,122,38,2994.00,1994.00,16000.00,0.1246,100.00,500.00
HERO_DAMAGE,25000,68,47,21,1000.00,0.00,6800.00,0.0000,100.00,840.00
TOWER_DAMAGE,5000,1017,809,208,17155.00,16155.00,101700.00,0.1588,100.00,750.00
TOWER_DAMAGE,10000,241,193,48,4569.00,3569.00,24100.00,0.1481,100.00,500.00
TOWER_DAMAGE,15000,31,27,4,1651.00,651.00,3100.00,0.2100,100.00,161.00
TOWER_DAMAGE,20000,1,0,1,900.00,-100.00,100.00,-1.0000,100.00,100.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,1194,949,245,20327.00,19327.00,119400.00,0.1619,100.00,1801.00
DAMAGE_TAKEN,20000,719,570,149,12021.00,11021.00,71900.00,0.1533,100.00,1680.00
DAMAGE_TAKEN,30000,436,348,88,7767.00,6767.00,43600.00,0.1552,100.00,1024.00
DAMAGE_TAKEN,40000,255,203,52,4929.00,3929.00,25500.00,0.1541,100.00,688.00
DAMAGE_TAKEN,50000,155,128,27,4281.00,3281.00,15500.00,0.2117,100.00,450.00
TEAM_PARTICIPATION,1,1275,1021,254,23021.00,22021.00,127500.00,0.1727,100.00,859.00
TEAM_PARTICIPATION,2,766,611,155,13710.00,12710.00,76600.00,0.1659,100.00,597.00
TEAM_PARTICIPATION,3,400,313,87,6523.00,5523.00,40000.00,0.1381,100.00,476.00
TEAM_PARTICIPATION,4,161,132,29,4078.00,3078.00,16100.00,0.1912,100.00,300.00
TEAM_PARTICIPATION,5,60,49,11,2256.00,1256.00,6000.00,0.2093,100.00,300.00
