metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,1435,1130,305,11858.00,10858.00,71750.00,0.1513,50.00,496.50
GPM,200,802,630,172,6781.00,5781.00,40100.00,0.1442,50.00,559.00
GPM,300,370,292,78,3536.50,2536.50,18500.00,0.1371,50.00,444.00
GPM,400,173,141,32,2411.50,1411.50,8650.00,0.1632,50.00,253.50
GPM,500,68,56,12,1599.00,599.00,3400.00,0.1762,50.00,100.00
XPM,100,1205,963,242,11153.00,10153.00,60250.00,0.1685,50.00,396.00
XPM,200,622,497,125,5944.00,4944.00,31100.00,0.1590,50.00,361.50
XPM,300,252,197,55,2752.00,1752.00,12600.00,0.1390,50.00,370.00
XPM,400,98,79,19,1800.00,800.00,4900.00,0.1633,50.00,141.50
XPM,500,40,29,11,1121.00,121.00,2000.00,0.0605,50.00,150.00
HERO_DAMAGE,5000,1110,884,226,10037.00,9037.00,55500.00,0.1628,50.00,453.50
HERO_DAMAGE,10000,667,529,138,6176.00,5176.00,33350.00,0.1552,50.00,523.00
HERO_DAMAGE,15000,359,277,82,3184.50,2184.50,17950.00,0.1217,50.00,242.50
HERO_DAMAGE,20000,160,122,38,1997.00,997.00,8000.00,0.1246,50.00,250.00
HERO_DAMAGE,25000,68,47,21,1000.00,0.00,3400.00,0.0000,50.00,420.00
TOWER_DAMAGE,5000,1017,809,208,9077.50,8077.50,50850.00,0.1588,50.00,375.00
TOWER_DAMAGE,10000,241,193,48,2784.50,1784.50,12050.00,0.1481,50.00,250.00
TOWER_DAMAGE,15000,31,27,4,1325.50,325.50,1550.00,0.2100,50.00,80.50
TOWER_DAMAGE,20000,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,1194,949,245,10663.50,9663.50,59700.00,0.1619,50.00,900.50
DAMAGE_TAKEN,20000,719,570,149,6510.50,5510.50,35950.00,0.1533,50.00,840.00
DAMAGE_TAKEN,30000,436,348,88,4383.50,3383.50,21800.00,0.1552,50.00,512.00
DAMAGE_TAKEN,40000,255,203,52,2964.50,1964.50,12750.00,0.1541,50.00,344.00
DAMAGE_TAKEN,50000,155,128,27,2640.50,1640.50,7750.00,0.2117,50.00,225.00
TEAM_PARTICIPATION,1,1275,1021,254,12010.50,11010.50,63750.00,0.1727,50.00,429.50
TEAM_PARTICIPATION,2,766,611,155,7355.00,6355.00,38300.00,0.1659,50.00,298.50
TEAM_PARTICIPATION,3,400,313,87,3761.50,2761.50,20000.00,0.1381,50.00,238.00
TEAM_PARTICIPATION,4,161,132,29,2539.00,1539.00,8050.00,0.1912,50.00,150.00
TEAM_PARTICIPATION,5,60,49,11,1628.00,628.00,3000.00,0.2093,50.00,150.00
