metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,456,360,96,18525.00,17525.00,45600.00,0.3843,100.00,555.00
GPM,200,249,196,53,10419.00,9419.00,24900.00,0.3783,100.00,541.00
GPM,300,123,101,22,7081.00,6081.00,12300.00,0.4944,100.00,441.00
GPM,400,52,45,7,3739.00,2739.00,5200.00,0.5267,100.00,141.00
GPM,500,16,13,3,1757.00,757.00,1600.00,0.4731,100.00,100.00
XPM,100,353,273,80,14558.00,13558.00,35300.00,0.3841,100.00,496.00
XPM,200,183,142,41,8017.00,7017.00,18300.00,0.3834,100.00,441.00
XPM,300,71,58,13,4817.00,3817.00,7100.00,0.5376,100.00,200.00
XPM,400,27,24,3,3238.00,2238.00,2700.00,0.8289,100.00,162.00
XPM,500,6,6,0,1655.00,655.00,600.00,1.0917,100.00,0.00
HERO_DAMAGE,5000,331,253,78,13633.00,12633.00,33100.00,0.3817,100.00,641.00
HERO_DAMAGE,10000,193,149,44,9019.00,8019.00,19300.00,0.4155,100.00,483.00
HERO_DAMAGE,15000,95,79,16,6257.00,5257.00,9500.00,0.5534,100.00,400.00
HERO_DAMAGE,20000,40,34,6,3695.00,2695.00,4000.00,0.6737,100.00,200.00
HERO_DAMAGE,25000,16,14,2,2411.00,1411.00,1600.00,0.8819,100.00,100.00
TOWER_DAMAGE,5000,306,248,58,13179.00,12179.00,30600.00,0.3980,100.00,405.00
TOWER_DAMAGE,10000,61,54,7,3914.00,2914.00,6100.00,0.4777,100.00,100.00
TOWER_DAMAGE,15000,6,5,1,1166.00,166.00,600.00,0.2767,100.00,100.00
TOWER_DAMAGE,20000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,310,254,56,15553.00,14553.00,31000.00,0.4695,100.00,293.00
DAMAGE_TAKEN,20000,171,147,24,9494.00,8494.00,17100.00,0.4967,100.00,200.00
DAMAGE_TAKEN,30000,93,81,12,5726.00,4726.00,9300.00,0.5082,100.00,201.00
DAMAGE_TAKEN,40000,57,48,9,3633.00,2633.00,5700.00,0.4619,100.00,200.00
DAMAGE_TAKEN,50000,35,29,6,2504.00,1504.00,3500.00,0.4297,100.00,200.00
TEAM_PARTICIPATION,1,398,305,93,17701.00,16701.00,39800.00,0.4196,100.00,565.00
TEAM_PARTICIPATION,2,260,206,54,13985.00,12985.00,26000.00,0.4994,100.00,434.00
TEAM_PARTICIPATION,3,147,116,31,8589.00,7589.00,14700.00,0.5163,100.00,238.00
TEAM_PARTICIPATION,4,49,39,10,3272.00,2272.00,4900.00,0.4637,100.00,251.00
TEAM_PARTICIPATION,5,18,14,4,2284.00,1284.00,1800.00,0.7133,100.00,200.00
