metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,6601,2385,4216,-2059947.31,-2060947.31,19654646.00,-0.1049,10000.00,2269283.11
GPM,200,3503,1252,2251,-1387353.41,-1388353.41,11217962.00,-0.1238,10000.00,1484033.47
GPM,300,1625,599,1026,-178058.61,-179058.61,2984678.00,-0.0600,10000.00,446027.00
GPM,400,661,247,414,3041.48,2041.48,336854.00,0.0061,10000.00,70304.04
GPM,500,222,79,143,2346.75,1346.75,7729.00,0.1742,610.00,1027.06
XPM,100,6651,2368,4283,-3787096.46,-3788096.46,29239617.00,-0.1296,10000.00,3948316.57
XPM,200,3435,1225,2210,-1396612.61,-1397612.61,12065273.00,-0.1158,10000.00,1515655.99
XPM,300,1494,516,978,-791329.93,-792329.93,5958178.00,-0.1330,10000.00,833639.96
XPM,400,564,206,358,42502.97,41502.97,726531.00,0.0571,10000.00,63272.11
XPM,500,190,76,114,1534.37,534.37,2022.00,0.2643,233.00,364.00
HERO_DAMAGE,5000,7767,2712,5055,-6263203.12,-6264203.12,43811839.00,-0.1430,10000.00,6307223.25
HERO_DAMAGE,10000,4941,1664,3277,-5627464.63,-5628464.63,31681278.00,-0.1777,10000.00,5650786.74
HERO_DAMAGE,15000,2795,925,1870,-3408232.67,-3409232.67,17148386.00,-0.1988,10000.00,3459553.69
HERO_DAMAGE,20000,1414,483,931,-1397244.30,-1398244.30,8145203.00,-0.1717,10000.00,1538769.31
HERO_DAMAGE,25000,622,205,417,-630058.00,-631058.00,2820041.00,-0.2238,10000.00,666920.59
TOWER_DAMAGE,5000,3898,1427,2471,-290315.05,-291315.05,5184799.00,-0.0562,10000.00,435560.11
TOWER_DAMAGE,10000,880,310,570,-403999.45,-404999.45,3540222.00,-0.1144,10000.00,566479.10
TOWER_DAMAGE,15000,125,44,81,5028.81,4028.81,19836.00,0.2031,2584.00,4382.72
TOWER_DAMAGE,20000,8,2,6,1001.51,1.51,28.00,0.0539,8.00,12.00
TOWER_DAMAGE,25000,1,0,1,999.00,-1.00,1.00,-1.0000,1.00,1.00
DAMAGE_TAKEN,10000,7333,2586,4747,-2432608.94,-2433608.94,23803244.00,-0.1022,10000.00,2577454.87
DAMAGE_TAKEN,20000,4389,1535,2854,-1647498.69,-1648498.69,15439618.00,-0.1068,10000.00,1724024.26
DAMAGE_TAKEN,30000,2446,871,1575,-1004299.22,-1005299.22,7861896.00,-0.1279,10000.00,1217062.81
DAMAGE_TAKEN,40000,1336,480,856,-65667.64,-66667.64,1782782.00,-0.0374,10000.00,194460.17
DAMAGE_TAKEN,50000,782,278,504,-540580.69,-541580.69,3386837.00,-0.1599,10000.00,615899.68
TEAM_PARTICIPATION,1,7788,2836,4952,-1455815.64,-1456815.64,19354293.00,-0.0753,10000.00,1570621.32
TEAM_PARTICIPATION,2,4677,1715,2962,-695059.37,-696059.37,9722585.00,-0.0716,10000.00,777790.96
TEAM_PARTICIPATION,3,2421,889,1532,-544639.30,-545639.30,6264670.00,-0.0871,10000.00,741034.00
TEAM_PARTICIPATION,4,1095,393,702,53312.81,52312.81,692831.00,0.0755,10000.00,70679.00
TEAM_PARTICIPATION,5,412,155,257,18736.06,17736.06,232079.00,0.0764,10000.00,41275.30
