metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,14227,7193,7034,-10881.15,-11881.15,257585.00,-0.0461,3050.00,12580.00
GPM,200,7557,3802,3755,-24752.60,-25752.60,266905.00,-0.0965,10000.00,38226.35
GPM,300,3525,1791,1734,-2765.00,-3765.00,64875.00,-0.0580,1885.00,6501.10
GPM,400,1463,759,704,-356.65,-1356.65,21340.00,-0.0636,720.00,1964.05
GPM,500,523,279,244,932.15,-67.85,7905.00,-0.0086,445.00,1045.60
XPM,100,13986,6971,7015,-13021.55,-14021.55,425050.00,-0.0330,7985.00,19543.50
XPM,200,7296,3619,3677,-23676.75,-24676.75,296630.00,-0.0832,10000.00,51383.40
XPM,300,3184,1544,1640,-11170.85,-12170.85,130270.00,-0.0934,4935.00,15471.50
XPM,400,1247,630,617,-899.95,-1899.95,25960.00,-0.0732,720.00,2006.65
XPM,500,438,232,206,886.80,-113.20,6395.00,-0.0177,275.00,612.40
HERO_DAMAGE,5000,15738,7592,8146,-86288.25,-87288.25,726620.00,-0.1201,10000.00,91032.50
HERO_DAMAGE,10000,9890,4653,5237,-95310.35,-96310.35,723465.00,-0.1331,10000.00,104720.35
HERO_DAMAGE,15000,5546,2568,2978,-176400.00,-177400.00,823580.00,-0.2154,10000.00,187086.55
HERO_DAMAGE,20000,2747,1276,1471,-68905.65,-69905.65,367470.00,-0.1902,10000.00,84786.05
HERO_DAMAGE,25000,1233,566,667,-5128.60,-6128.60,90365.00,-0.0678,4935.00,14251.90
TOWER_DAMAGE,5000,8745,4531,4214,-525.55,-1525.55,114455.00,-0.0133,720.00,3682.85
TOWER_DAMAGE,10000,1999,1016,983,-63.45,-1063.45,20655.00,-0.0515,445.00,1466.25
TOWER_DAMAGE,15000,269,139,130,895.85,-104.15,2565.00,-0.0406,105.00,299.25
TOWER_DAMAGE,20000,15,7,8,997.60,-2.40,130.00,-0.0185,25.00,41.25
TOWER_DAMAGE,25000,1,0,1,995.00,-5.00,5.00,-1.0000,5.00,5.00
DAMAGE_TAKEN,10000,15328,7581,7747,-34979.65,-35979.65,389955.00,-0.0923,10000.00,44874.40
DAMAGE_TAKEN,20000,9276,4578,4698,-17609.55,-18609.55,207150.00,-0.0898,7985.00,23060.90
DAMAGE_TAKEN,30000,5305,2650,2655,-9608.35,-10608.35,133125.00,-0.0797,4935.00,12731.35
DAMAGE_TAKEN,40000,2949,1491,1458,-10981.25,-11981.25,124945.00,-0.0959,10000.00,35198.45
DAMAGE_TAKEN,50000,1735,888,847,-1144.55,-2144.55,43580.00,-0.0492,1885.00,3444.55
TEAM_PARTICIPATION,1,15277,7543,7734,-9247.70,-10247.70,411945.00,-0.0249,7985.00,29822.00
TEAM_PARTICIPATION,2,8973,4426,4547,-33061.75,-34061.75,317585.00,-0.1073,10000.00,48565.45
TEAM_PARTICIPATION,3,4577,2244,2333,-5848.70,-6848.70,152735.00,-0.0448,7985.00,16575.35
TEAM_PARTICIPATION,4,2017,969,1048,-7092.80,-8092.80,117755.00,-0.0687,10000.00,32390.50
TEAM_PARTICIPATION,5,760,377,383,-200.60,-1200.60,18600.00,-0.0645,1165.00,2828.20
