metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,7137,4561,2576,-1237.40,-2237.40,47975.00,-0.0466,105.00,2258.20
GPM,200,3791,2425,1366,-883.90,-1883.90,28655.00,-0.0657,445.00,1908.50
GPM,300,1765,1129,636,481.55,-518.45,11240.00,-0.0461,65.00,602.15
GPM,400,747,484,263,561.00,-439.00,5340.00,-0.0822,105.00,559.40
GPM,500,284,193,91,901.30,-98.70,2020.00,-0.0489,65.00,192.05
XPM,100,6825,4341,2484,-1402.15,-2402.15,47085.00,-0.0510,170.00,2489.70
XPM,200,3593,2254,1339,-809.75,-1809.75,25655.00,-0.0705,170.00,1864.05
XPM,300,1571,965,606,5.75,-994.25,11545.00,-0.0861,105.00,1031.75
XPM,400,638,399,239,333.70,-666.30,5340.00,-0.1248,170.00,771.75
XPM,500,231,148,83,908.30,-91.70,1600.00,-0.0573,40.00,143.65
HERO_DAMAGE,5000,7381,4595,2786,-3995.80,-4995.80,57610.00,-0.0867,445.00,5097.20
HERO_DAMAGE,10000,4552,2803,1749,-1597.55,-2597.55,32955.00,-0.0788,170.00,2616.60
HERO_DAMAGE,15000,2530,1538,992,-399.35,-1399.35,17670.00,-0.0792,105.00,1406.50
HERO_DAMAGE,20000,1227,742,485,295.75,-704.25,8330.00,-0.0845,65.00,721.05
HERO_DAMAGE,25000,572,344,228,572.35,-427.65,4225.00,-0.1012,65.00,441.50
TOWER_DAMAGE,5000,4509,2939,1570,-17.10,-1017.10,30220.00,-0.0337,170.00,1109.10
TOWER_DAMAGE,10000,1038,667,371,706.65,-293.35,6565.00,-0.0447,65.00,345.50
TOWER_DAMAGE,15000,132,88,44,997.60,-2.40,730.00,-0.0033,15.00,45.65
TOWER_DAMAGE,20000,7,5,2,1001.85,1.85,35.00,0.0529,5.00,5.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,7438,4693,2745,-2348.40,-3348.40,53960.00,-0.0621,720.00,3407.90
DAMAGE_TAKEN,20000,4526,2845,1681,-3318.90,-4318.90,39785.00,-0.1086,1165.00,4391.05
DAMAGE_TAKEN,30000,2650,1664,986,-1193.85,-2193.85,22355.00,-0.0981,445.00,2297.65
DAMAGE_TAKEN,40000,1493,948,545,216.65,-783.35,11120.00,-0.0704,105.00,808.80
DAMAGE_TAKEN,50000,887,576,311,699.15,-300.85,6140.00,-0.0490,105.00,338.30
TEAM_PARTICIPATION,1,6930,4442,2488,-1631.80,-2631.80,48710.00,-0.0540,445.00,2662.55
TEAM_PARTICIPATION,2,3970,2559,1411,-961.70,-1961.70,29140.00,-0.0673,445.00,1976.30
TEAM_PARTICIPATION,3,1999,1285,714,373.95,-626.05,13485.00,-0.0464,170.00,728.45
TEAM_PARTICIPATION,4,844,544,300,610.40,-389.60,5920.00,-0.0658,170.00,420.85
TEAM_PARTICIPATION,5,316,208,108,828.90,-171.10,2250.00,-0.0760,105.00,204.35
