metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
GPM,100,2467,1705,762,8523.65,7523.65,36480.00,0.2062,3050.00,4938.55
GPM,200,1376,943,433,-6568.05,-7568.05,49390.00,-0.1532,10000.00,20900.00
GPM,300,644,439,205,1688.25,688.25,4210.00,0.1635,65.00,147.55
GPM,400,294,209,85,1383.85,383.85,1605.00,0.2392,15.00,41.40
GPM,500,115,79,36,1107.40,107.40,715.00,0.1502,40.00,62.35
XPM,100,2123,1491,632,7654.30,6654.30,70835.00,0.0939,7985.00,12929.25
XPM,200,1089,756,333,506.80,-493.20,16175.00,-0.0305,3050.00,4930.00
XPM,300,456,311,145,1535.75,535.75,2870.00,0.1867,105.00,165.00
XPM,400,187,129,58,1274.20,274.20,1025.00,0.2675,15.00,33.30
XPM,500,71,45,26,1036.50,36.50,440.00,0.0830,25.00,36.20
HERO_DAMAGE,5000,2005,1391,614,-50.50,-1050.50,39765.00,-0.0264,7985.00,12928.85
HERO_DAMAGE,10000,1233,843,390,1809.30,809.30,13735.00,0.0589,1885.00,3058.25
HERO_DAMAGE,15000,667,443,224,1491.75,491.75,6460.00,0.0761,720.00,1160.00
HERO_DAMAGE,20000,309,211,98,1577.55,577.55,2065.00,0.2797,105.00,165.00
HERO_DAMAGE,25000,128,88,40,1244.70,244.70,835.00,0.2931,40.00,60.00
TOWER_DAMAGE,5000,1711,1218,493,3551.35,2551.35,9540.00,0.2674,25.00,56.75
TOWER_DAMAGE,10000,414,293,121,1548.25,548.25,2360.00,0.2323,25.00,40.00
TOWER_DAMAGE,15000,47,35,12,1052.25,52.25,240.00,0.2177,10.00,12.50
TOWER_DAMAGE,20000,2,0,2,990.00,-10.00,10.00,-1.0000,5.00,10.00
TOWER_DAMAGE,25000,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
DAMAGE_TAKEN,10000,2076,1473,603,4429.10,3429.10,13395.00,0.2560,275.00,453.65
DAMAGE_TAKEN,20000,1231,872,359,2876.80,1876.80,7940.00,0.2364,170.00,319.80
DAMAGE_TAKEN,30000,726,519,207,1678.70,678.70,6685.00,0.1015,445.00,1027.90
DAMAGE_TAKEN,40000,428,304,124,1597.75,597.75,2925.00,0.2044,105.00,204.40
DAMAGE_TAKEN,50000,247,178,69,1385.95,385.95,1490.00,0.2590,40.00,59.85
TEAM_PARTICIPATION,1,2455,1704,751,5395.65,4395.65,15970.00,0.2752,275.00,448.35
TEAM_PARTICIPATION,2,1475,1014,461,3268.30,2268.30,8775.00,0.2585,105.00,175.45
TEAM_PARTICIPATION,3,757,518,239,2134.85,1134.85,4610.00,0.2462,65.00,101.25
TEAM_PARTICIPATION,4,323,222,101,1567.50,567.50,2155.00,0.2633,65.00,102.00
TEAM_PARTICIPATION,5,125,89,36,1245.80,245.80,750.00,0.3277,25.00,35.00
