strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,GPM,100,14227,7193,7034,50.56,-120875,-121875,1422700,-0.0857,122361,100
Flat100,none,any,GPM,200,7557,3802,3755,50.31,-69244,-70244,755700,-0.0930,70862,100
Flat100,none,any,GPM,300,3525,1791,1734,50.81,-28021,-29021,352500,-0.0823,29588,100
Flat100,none,any,GPM,400,1463,759,704,51.88,-8791,-9791,146300,-0.0669,11185,100
Flat100,none,any,GPM,500,523,279,244,53.35,-1979,-2979,52300,-0.0570,4047,100
Flat100,none,any,XPM,100,13986,6971,7015,49.84,-127099,-128099,1398600,-0.0916,128390,100
Flat100,none,any,XPM,200,7296,3619,3677,49.60,-69636,-70636,729600,-0.0968,71592,100
Flat100,none,any,XPM,300,3184,1544,1640,48.49,-37852,-38852,318400,-0.1220,39515,100
Flat100,none,any,XPM,400,1247,630,617,50.52,-9781,-10781,124700,-0.0865,11083,100
Flat100,none,any,XPM,500,438,232,206,52.97,-659,-1659,43800,-0.0379,3422,100
Flat100,none,any,HERO_DAMAGE,5000,15738,7592,8146,48.24,-169575,-170575,1573800,-0.1084,171110,100
Flat100,none,any,HERO_DAMAGE,10000,9890,4653,5237,47.05,-126976,-127976,989000,-0.1294,128681,100
Flat100,none,any,HERO_DAMAGE,15000,5546,2568,2978,46.30,-76775,-77775,554600,-0.1402,77828,100
Flat100,none,any,HERO_DAMAGE,20000,2747,1276,1471,46.45,-34062,-35062,274700,-0.1276,36176,100
Flat100,none,any,HERO_DAMAGE,25000,1233,566,667,45.90,-17590,-18590,123300,-0.1508,18898,100
Flat100,none,any,TOWER_DAMAGE,5000,8745,4531,4214,51.81,-64745,-65745,874500,-0.0752,67283,100
Flat100,none,any,TOWER_DAMAGE,10000,1999,1016,983,50.83,-17990,-18990,199900,-0.0950,19910,100
Flat100,none,any,TOWER_DAMAGE,15000,269,139,130,51.67,-473,-1473,26900,-0.0548,3398,100
Flat100,none,any,TOWER_DAMAGE,20000,15,7,8,46.67,694,-306,1500,-0.2040,545,100
Flat100,none,any,TOWER_DAMAGE,25000,1,0,1,0.00,900,-100,100,-1.0000,100,100
Flat100,none,any,DAMAGE_TAKEN,10000,15328,7581,7747,49.46,-143479,-144479,1532800,-0.0943,145658,100
Flat100,none,any,DAMAGE_TAKEN,20000,9276,4578,4698,49.35,-89023,-90023,927600,-0.0970,90620,100
Flat100,none,any,DAMAGE_TAKEN,30000,5305,2650,2655,49.95,-47937,-48937,530500,-0.0922,49686,100
Flat100,none,any,DAMAGE_TAKEN,40000,2949,1491,1458,50.56,-24172,-25172,294900,-0.0854,26598,100
Flat100,none,any,DAMAGE_TAKEN,50000,1735,888,847,51.18,-13410,-14410,173500,-0.0831,15541,100
Flat100,none,any,TEAM_PARTICIPATION,1,15277,7543,7734,49.37,-114537,-115537,1527700,-0.0756,115866,100
Flat100,none,any,TEAM_PARTICIPATION,2,8973,4426,4547,49.33,-65527,-66527,897300,-0.0741,67442,100
Flat100,none,any,TEAM_PARTICIPATION,3,4577,2244,2333,49.03,-36116,-37116,457700,-0.0811,37249,100
Flat100,none,any,TEAM_PARTICIPATION,4,2017,969,1048,48.04,-20840,-21840,201700,-0.1083,22333,100
Flat100,none,any,TEAM_PARTICIPATION,5,760,377,383,49.61,-4920,-5920,76000,-0.0779,7314,100
Flat100,none,underdog,GPM,100,6601,2385,4216,36.13,-75507,-76507,660100,-0.1159,77171,100
Flat100,none,underdog,GPM,200,3503,1252,2251,35.74,-43762,-44762,350300,-0.1278,45485,100
Flat100,none,underdog,GPM,300,1625,599,1026,36.86,-15012,-16012,162500,-0.0985,16413,100
Flat100,none,underdog,GPM,400,661,247,414,37.37,-3998,-4998,66100,-0.0756,6350,100
Flat100,none,underdog,GPM,500,222,79,143,35.59,-1307,-2307,22200,-0.1039,2388,100
Flat100,none,underdog,XPM,100,6651,2368,4283,35.60,-83293,-84293,665100,-0.1267,84763,100
Flat100,none,underdog,XPM,200,3435,1225,2210,35.66,-40951,-41951,343500,-0.1221,42663,100
Flat100,none,underdog,XPM,300,1494,516,978,34.54,-22308,-23308,149400,-0.1560,23717,100
Flat100,none,underdog,XPM,400,564,206,358,36.52,-4670,-5670,56400,-0.1005,7055,100
Flat100,none,underdog,XPM,500,190,76,114,40.00,948,-52,19000,-0.0027,1553,100
