strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,GPM,100,91,40,51,43.96,-895,-1895,9100,-0.2082,1949,100
Flat100,none,any,GPM,200,54,22,32,40.74,-314,-1314,5400,-0.2433,1367,100
Flat100,none,any,GPM,300,21,10,11,47.62,812,-188,2100,-0.0895,487,100
Flat100,none,any,GPM,400,9,5,4,55.56,1151,151,900,0.1678,138,100
Flat100,none,any,GPM,500,3,0,3,0.00,700,-300,300,-1.0000,300,100
Flat100,none,any,XPM,100,85,36,49,42.35,-835,-1835,8500,-0.2159,1835,100
Flat100,none,any,XPM,200,40,14,26,35.00,-259,-1259,4000,-0.3147,1300,100
Flat100,none,any,XPM,300,21,8,13,38.10,374,-626,2100,-0.2981,835,100
Flat100,none,any,XPM,400,7,3,4,42.86,764,-236,700,-0.3371,380,100
Flat100,none,any,XPM,500,1,1,0,100.00,1062,62,100,0.6200,0,100
Flat100,none,any,HERO_DAMAGE,5000,92,36,56,39.13,-1383,-2383,9200,-0.2590,2565,100
Flat100,none,any,HERO_DAMAGE,10000,62,25,37,40.32,-709,-1709,6200,-0.2756,1771,100
Flat100,none,any,HERO_DAMAGE,15000,27,11,16,40.74,205,-795,2700,-0.2944,943,100
Flat100,none,any,HERO_DAMAGE,20000,15,6,9,40.00,570,-430,1500,-0.2867,708,100
Flat100,none,any,HERO_DAMAGE,25000,6,4,2,66.67,1136,136,600,0.2267,200,100
Flat100,none,any,TOWER_DAMAGE,5000,45,18,27,40.00,-193,-1193,4500,-0.2651,1518,100
Flat100,none,any,TOWER_DAMAGE,10000,6,2,4,33.33,716,-284,600,-0.4733,335,100
Flat100,none,any,TOWER_DAMAGE,15000,2,0,2,0.00,800,-200,200,-1.0000,200,100
Flat100,none,any,TOWER_DAMAGE,20000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,TOWER_DAMAGE,25000,0,0,0,0.00,1000,0,0,0.0000,0,0
Flat100,none,any,DAMAGE_TAKEN,10000,89,44,45,49.44,169,-831,8900,-0.0934,1349,100
Flat100,none,any,DAMAGE_TAKEN,20000,56,28,28,50.00,741,-259,5600,-0.0462,746,100
Flat100,none,any,DAMAGE_TAKEN,30000,19,10,9,52.63,1181,181,1900,0.0953,300,100
Flat100,none,any,DAMAGE_TAKEN,40000,10,7,3,70.00,1518,518,1000,0.5180,200,100
Flat100,none,any,DAMAGE_TAKEN,50000,2,2,0,100.00,1272,272,200,1.3600,0,100
Flat100,none,any,TEAM_PARTICIPATION,1,84,36,48,42.86,-578,-1578,8400,-0.1879,1962,100
