metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,21586,13383,8203,278655.00,277655.00,2158600.00,0.1286,100.00,2489.00
WR_DELTA,10,20635,12902,7733,282693.00,281693.00,2063500.00,0.1365,100.00,2370.00
WR_DELTA,15,19706,12420,7286,288585.00,287585.00,1970600.00,0.1459,100.00,2223.00
WR_DELTA,20,18842,11960,6882,291737.00,290737.00,1884200.00,0.1543,100.00,2356.00
WR_DELTA,25,17861,11422,6439,289853.00,288853.00,1786100.00,0.1617,100.00,2545.00
WR_DELTA,30,681,370,311,0.00,-1000.00,67568.68,-0.0148,100.00,2674.00
WR_DELTA,35,16064,10419,5645,284128.00,283128.00,1606400.00,0.1762,100.00,2387.00
WR_DELTA,40,15193,9918,5275,276900.00,275900.00,1519300.00,0.1816,100.00,2437.00
WR_DELTA,45,14337,9416,4921,270564.00,269564.00,1433700.00,0.1880,100.00,2046.00
WR_DELTA,50,13529,8956,4573,268782.00,267782.00,1352900.00,0.1979,100.00,1842.00
WR_DELTA,75,9936,6855,3081,244377.00,243377.00,993600.00,0.2449,100.00,1567.00
WR_DELTA,100,6785,4876,1909,197650.00,196650.00,678500.00,0.2898,100.00,1325.00
WR_DELTA,125,4435,3288,1147,147944.00,146944.00,443500.00,0.3313,100.00,1475.00
WR_DELTA,150,2761,2128,633,104268.00,103268.00,276100.00,0.3740,100.00,1222.00
WR_DELTA,200,938,771,167,44469.00,43469.00,93800.00,0.4634,100.00,479.00
WR_DELTA,250,283,240,43,16151.00,15151.00,28300.00,0.5354,100.00,276.00
WR_DELTA,300,70,62,8,5355.00,4355.00,7000.00,0.6221,100.00,200.00
WR_DELTA,350,20,20,0,2800.00,1800.00,2000.00,0.9000,100.00,0.00
WR_DELTA,400,3,3,0,1140.00,140.00,300.00,0.4667,100.00,0.00
