metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,9334,4490,4844,175549.00,174549.00,933400.00,0.1870,100.00,2748.00
WR_DELTA,10,541,215,326,0.00,-1000.00,54022.00,-0.0185,100.00,3057.00
WR_DELTA,15,526,209,317,0.00,-1000.00,52467.70,-0.0191,100.00,3048.00
WR_DELTA,20,328,130,198,0.00,-1000.00,32710.00,-0.0306,100.00,3016.00
WR_DELTA,25,305,121,184,0.00,-1000.00,30464.00,-0.0328,100.00,2906.00
WR_DELTA,30,283,112,171,0.00,-1000.00,28212.18,-0.0354,100.00,2926.00
WR_DELTA,35,273,108,165,0.00,-1000.00,27281.00,-0.0367,100.00,2679.00
WR_DELTA,40,6403,3278,3125,165830.00,164830.00,640300.00,0.2574,100.00,2145.00
WR_DELTA,45,243,96,147,0.00,-1000.00,24238.00,-0.0413,100.00,2206.00
WR_DELTA,50,5694,2966,2728,159336.00,158336.00,569400.00,0.2781,100.00,1843.00
WR_DELTA,75,4093,2272,1821,147105.00,146105.00,409300.00,0.3570,100.00,1522.00
WR_DELTA,100,2678,1572,1106,117516.00,116516.00,267800.00,0.4351,100.00,1757.00
WR_DELTA,125,1718,1070,648,89914.00,88914.00,171800.00,0.5175,100.00,1722.00
WR_DELTA,150,1021,681,340,64902.00,63902.00,102100.00,0.6259,100.00,1370.00
WR_DELTA,200,326,243,83,28240.00,27240.00,32600.00,0.8356,100.00,400.00
WR_DELTA,250,98,76,22,10806.00,9806.00,9800.00,1.0006,100.00,300.00
WR_DELTA,300,26,22,4,3953.00,2953.00,2600.00,1.1358,100.00,100.00
WR_DELTA,350,8,8,0,2279.00,1279.00,800.00,1.5987,100.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
