metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,157,98,59,0.00,-1000.00,15673.00,-0.0638,100.00,1321.00
WR_DELTA,10,11011,8155,2856,101130.00,100130.00,1101100.00,0.0909,100.00,1540.00
WR_DELTA,15,10521,7840,2681,103563.00,102563.00,1052100.00,0.0975,100.00,1402.00
WR_DELTA,20,10078,7537,2541,102993.00,101993.00,1007800.00,0.1012,100.00,1284.00
WR_DELTA,25,9582,7209,2373,103444.00,102444.00,958200.00,0.1069,100.00,1295.00
WR_DELTA,30,9143,6909,2234,103030.00,102030.00,914300.00,0.1116,100.00,1095.00
WR_DELTA,35,8683,6597,2086,103447.00,102447.00,868300.00,0.1180,100.00,1353.00
WR_DELTA,40,8242,6300,1942,103492.00,102492.00,824200.00,0.1244,100.00,1409.00
WR_DELTA,45,7780,5986,1794,103064.00,102064.00,778000.00,0.1312,100.00,1434.00
WR_DELTA,50,7344,5686,1658,102884.00,101884.00,734400.00,0.1387,100.00,1062.00
WR_DELTA,75,5492,4351,1141,90118.00,89118.00,549200.00,0.1623,100.00,945.00
WR_DELTA,100,3855,3130,725,73892.00,72892.00,385500.00,0.1891,100.00,695.00
WR_DELTA,125,2540,2095,445,53802.00,52802.00,254000.00,0.2079,100.00,567.00
WR_DELTA,150,1635,1372,263,36889.00,35889.00,163500.00,0.2195,100.00,803.00
WR_DELTA,200,582,505,77,15931.00,14931.00,58200.00,0.2565,100.00,474.00
WR_DELTA,250,176,156,20,5751.00,4751.00,17600.00,0.2699,100.00,246.00
WR_DELTA,300,44,40,4,2402.00,1402.00,4400.00,0.3186,100.00,100.00
WR_DELTA,350,12,12,0,1521.00,521.00,1200.00,0.4342,100.00,0.00
WR_DELTA,400,3,3,0,1140.00,140.00,300.00,0.4667,100.00,0.00
