metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,301,145,156,82.04,-917.96,5154.47,-0.1781,56.51,1054.94
WR_DELTA,10,217,103,114,129.95,-870.05,4289.62,-0.2028,58.54,1068.24
WR_DELTA,15,142,74,68,491.72,-508.28,4170.11,-0.1219,56.15,852.09
WR_DELTA,20,91,49,42,742.60,-257.40,3522.25,-0.0731,56.06,583.95
WR_DELTA,25,59,29,30,655.88,-344.12,2066.68,-0.1665,50.00,439.77
WR_DELTA,30,31,14,17,807.42,-192.58,1194.52,-0.1612,50.00,355.58
WR_DELTA,35,11,6,5,1008.70,8.70,534.91,0.0163,52.56,149.92
WR_DELTA,40,8,3,5,878.65,-121.35,365.53,-0.3320,50.00,190.63
WR_DELTA,45,3,1,2,916.94,-83.06,142.63,-0.5824,50.00,97.50
WR_DELTA,50,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
WR_DELTA,75,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,125,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,150,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,250,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,350,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
