metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,9334,4490,4844,15980030,15979030,80058138,0.1996,10000,274800
WR_DELTA,10,8880,4312,4568,16037813,16036813,76092004,0.2108,10000,244000
WR_DELTA,15,8466,4155,4311,16349735,16348735,72444273,0.2257,10000,245400
WR_DELTA,20,8076,4009,4067,16638786,16637786,69022220,0.2410,10000,225400
WR_DELTA,25,7636,3817,3819,16321746,16320746,65356603,0.2497,10000,193900
WR_DELTA,30,7193,3631,3562,16102326,16101326,61537417,0.2617,10000,180800
WR_DELTA,35,6803,3460,3343,15781359,15780359,57869663,0.2727,10000,201500
WR_DELTA,40,6403,3278,3125,15178233,15177233,54179724,0.2801,10000,214500
WR_DELTA,45,6038,3107,2931,14572063,14571063,50309171,0.2896,10000,203700
WR_DELTA,50,5694,2966,2728,14523084,14522084,47743039,0.3042,10000,183700
WR_DELTA,75,4093,2272,1821,13466706,13465706,34627703,0.3889,10000,152200
WR_DELTA,100,2678,1572,1106,10573222,10572222,22382499,0.4723,10000,97200
WR_DELTA,125,1718,1070,648,7861584,7860584,13761867,0.5712,10000,74200
WR_DELTA,150,1021,681,340,5408717,5407717,7960643,0.6793,10000,60900
WR_DELTA,200,326,243,83,1797906,1796906,2089187,0.8601,10000,40000
WR_DELTA,250,98,76,22,100455,99455,96346,1.0323,4525,4485
WR_DELTA,300,26,22,4,4068,3068,2558,1.1991,183,120
WR_DELTA,350,8,8,0,1847,847,525,1.6127,83,0
WR_DELTA,400,0,0,0,1000,0,0,0.0000,0,0
