metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11469,8436,3033,8496845,8495845,95735047,0.0887,10000,182400
WR_DELTA,10,11011,8155,2856,8917463,8916463,92531094,0.0964,10000,154000
WR_DELTA,15,10521,7840,2681,9189816,9188816,89045817,0.1032,10000,140200
WR_DELTA,20,10078,7537,2541,9142209,9141209,85324471,0.1071,10000,128400
WR_DELTA,25,9582,7209,2373,9200425,9199425,81386414,0.1130,10000,129500
WR_DELTA,30,9143,6909,2234,9171431,9170431,78051867,0.1175,10000,109500
WR_DELTA,35,8683,6597,2086,9221982,9220982,74069175,0.1245,10000,135300
WR_DELTA,40,8242,6300,1942,9236429,9235429,70331189,0.1313,10000,140900
WR_DELTA,45,7780,5986,1794,9200444,9199444,66230743,0.1389,10000,143400
WR_DELTA,50,7344,5686,1658,9192132,9191132,62657434,0.1467,10000,98900
WR_DELTA,75,5492,4351,1141,7935244,7934244,45621469,0.1739,10000,68800
WR_DELTA,100,3855,3130,725,6347509,6346509,31758062,0.1998,10000,66100
WR_DELTA,125,2540,2095,445,4351555,4350555,19675743,0.2211,10000,45200
WR_DELTA,150,1635,1372,263,2673515,2672515,11746815,0.2275,10000,49400
WR_DELTA,200,582,505,77,591471,590471,2124034,0.2780,10000,20000
WR_DELTA,250,176,156,20,10025,9025,32885,0.2745,492,510
WR_DELTA,300,44,40,4,1981,981,3032,0.3237,96,83
WR_DELTA,350,12,12,0,1293,293,681,0.4302,63,0
WR_DELTA,400,3,3,0,1072,72,152,0.4692,52,0
