metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,3856,3088,768,68188,67188,385600,0.1742,100,1017
WR_DELTA,10,3853,3086,767,68195,67195,385300,0.1744,100,1017
WR_DELTA,15,3849,3082,767,67948,66948,384900,0.1739,100,1017
WR_DELTA,20,3840,3075,765,67863,66863,384000,0.1741,100,1017
WR_DELTA,25,3834,3069,765,67515,66515,383400,0.1735,100,1017
WR_DELTA,30,3824,3062,762,67417,66417,382400,0.1737,100,1017
WR_DELTA,35,3808,3050,758,67231,66231,380800,0.1739,100,1017
WR_DELTA,40,3780,3028,752,66768,65768,378000,0.1740,100,917
WR_DELTA,45,3738,3001,737,67042,66042,373800,0.1767,100,817
WR_DELTA,50,3697,2971,726,66694,65694,369700,0.1777,100,817
WR_DELTA,75,3368,2733,635,64220,63220,336800,0.1877,100,720
WR_DELTA,100,2756,2272,484,57409,56409,275600,0.2047,100,626
WR_DELTA,125,2032,1687,345,44240,43240,203200,0.2128,100,598
WR_DELTA,150,1407,1188,219,32771,31771,140700,0.2258,100,595
WR_DELTA,200,540,467,73,14546,13546,54000,0.2509,100,404
WR_DELTA,250,168,150,18,5665,4665,16800,0.2777,100,200
WR_DELTA,300,44,40,4,2402,1402,4400,0.3186,100,100
WR_DELTA,350,12,12,0,1521,521,1200,0.4342,100,0
WR_DELTA,400,3,3,0,1140,140,300,0.4667,100,0
