metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,2870,1592,1278,52514.50,51514.50,143500.00,0.3590,50.00,896.50
WR_DELTA,10,2863,1589,1274,52543.00,51543.00,143150.00,0.3601,50.00,896.50
WR_DELTA,15,2854,1586,1268,52628.50,51628.50,142700.00,0.3618,50.00,896.50
WR_DELTA,20,2848,1584,1264,52671.50,51671.50,142400.00,0.3629,50.00,997.00
WR_DELTA,25,2839,1580,1259,52654.50,51654.50,141950.00,0.3639,50.00,997.00
WR_DELTA,30,2833,1579,1254,52858.00,51858.00,141650.00,0.3661,50.00,947.00
WR_DELTA,35,2822,1576,1246,53033.50,52033.50,141100.00,0.3688,50.00,897.00
WR_DELTA,40,2796,1562,1234,52637.50,51637.50,139800.00,0.3694,50.00,902.00
WR_DELTA,45,2763,1544,1219,52218.00,51218.00,138150.00,0.3707,50.00,902.00
WR_DELTA,50,2738,1531,1207,51790.00,50790.00,136900.00,0.3710,50.00,852.00
WR_DELTA,75,2435,1405,1030,51118.50,50118.50,121750.00,0.4117,50.00,725.50
WR_DELTA,100,1891,1134,757,44741.50,43741.50,94550.00,0.4626,50.00,580.00
WR_DELTA,125,1358,853,505,37245.00,36245.00,67900.00,0.5338,50.00,594.50
WR_DELTA,150,876,583,293,28673.00,27673.00,43800.00,0.6318,50.00,555.00
WR_DELTA,200,307,228,79,13913.50,12913.50,15350.00,0.8413,50.00,200.00
WR_DELTA,250,97,75,22,5848.00,4848.00,4850.00,0.9996,50.00,150.00
WR_DELTA,300,26,22,4,2476.50,1476.50,1300.00,1.1358,50.00,50.00
WR_DELTA,350,8,8,0,1639.50,639.50,400.00,1.5987,50.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
