metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,26,14,12,702.00,-298.00,1300.00,-0.2292,50.00,364.00
WR_DELTA,10,23,13,10,774.50,-225.50,1150.00,-0.1961,50.00,277.50
WR_DELTA,15,18,8,10,686.00,-314.00,900.00,-0.3489,50.00,352.50
WR_DELTA,20,15,7,8,760.00,-240.00,750.00,-0.3200,50.00,288.00
WR_DELTA,25,12,4,8,703.50,-296.50,600.00,-0.4942,50.00,315.00
WR_DELTA,30,7,2,5,807.50,-192.50,350.00,-0.5500,50.00,200.00
WR_DELTA,35,4,0,4,800.00,-200.00,200.00,-1.0000,50.00,200.00
WR_DELTA,40,4,0,4,800.00,-200.00,200.00,-1.0000,50.00,200.00
WR_DELTA,45,2,0,2,900.00,-100.00,100.00,-1.0000,50.00,100.00
WR_DELTA,50,1,0,1,950.00,-50.00,50.00,-1.0000,50.00,50.00
WR_DELTA,75,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,125,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,150,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,250,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,350,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
