metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,10,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,15,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,20,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,25,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,30,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,35,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,40,1131,859,272,43624.00,42624.00,113100.00,0.3769,100.00,462.00
WR_DELTA,45,1130,858,272,43588.00,42588.00,113000.00,0.3769,100.00,462.00
WR_DELTA,50,1130,858,272,43588.00,42588.00,113000.00,0.3769,100.00,462.00
WR_DELTA,75,1123,853,270,43057.00,42057.00,112300.00,0.3745,100.00,462.00
WR_DELTA,100,1089,835,254,43020.00,42020.00,108900.00,0.3859,100.00,462.00
WR_DELTA,125,985,765,220,41458.00,40458.00,98500.00,0.4107,100.00,428.00
WR_DELTA,150,836,659,177,36909.00,35909.00,83600.00,0.4295,100.00,515.00
WR_DELTA,200,429,356,73,22855.00,21855.00,42900.00,0.5094,100.00,368.00
WR_DELTA,250,177,153,24,11546.00,10546.00,17700.00,0.5958,100.00,353.00
WR_DELTA,300,51,47,4,4945.00,3945.00,5100.00,0.7735,100.00,100.00
WR_DELTA,350,16,16,0,2539.00,1539.00,1600.00,0.9619,100.00,0.00
WR_DELTA,400,3,3,0,1140.00,140.00,300.00,0.4667,100.00,0.00
