metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,10,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,15,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,20,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,25,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,30,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,35,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,40,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,45,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,50,422,288,134,30111,29111,42200,0.6898,100,404
WR_DELTA,75,418,285,133,29565,28565,41800,0.6834,100,404
WR_DELTA,100,401,279,122,29618,28618,40100,0.7137,100,504
WR_DELTA,125,363,258,105,28494,27494,36300,0.7574,100,504
WR_DELTA,150,305,221,84,25261,24261,30500,0.7954,100,400
WR_DELTA,200,153,119,34,15724,14724,15300,0.9624,100,300
WR_DELTA,250,58,49,9,8061,7061,5800,1.2174,100,200
WR_DELTA,300,20,19,1,3840,2840,2000,1.4200,100,100
WR_DELTA,350,7,7,0,2098,1098,700,1.5686,100,0
WR_DELTA,400,0,0,0,1000,0,0,0.0000,0,0
