metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,10,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,15,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,20,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,25,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,30,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,35,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,40,1131,859,272,22312,21312,56550,0.3769,50,231
WR_DELTA,45,1130,858,272,22294,21294,56500,0.3769,50,231
WR_DELTA,50,1130,858,272,22294,21294,56500,0.3769,50,231
WR_DELTA,75,1123,853,270,22028,21028,56150,0.3745,50,231
WR_DELTA,100,1089,835,254,22010,21010,54450,0.3859,50,231
WR_DELTA,125,985,765,220,21229,20229,49250,0.4107,50,214
WR_DELTA,150,836,659,177,18954,17954,41800,0.4295,50,258
WR_DELTA,200,429,356,73,11928,10928,21450,0.5094,50,184
WR_DELTA,250,177,153,24,6273,5273,8850,0.5958,50,176
WR_DELTA,300,51,47,4,2972,1972,2550,0.7735,50,50
WR_DELTA,350,16,16,0,1770,770,800,0.9619,50,0
WR_DELTA,400,3,3,0,1070,70,150,0.4667,50,0
