metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,301,145,156,1037.77,37.77,1077.00,0.0351,89.00,173.71
WR_DELTA,10,217,103,114,817.57,-182.43,1080.00,-0.1689,55.00,235.97
WR_DELTA,15,142,74,68,977.12,-22.88,288.00,-0.0794,13.00,40.38
WR_DELTA,20,91,49,42,991.77,-8.23,145.00,-0.0568,13.00,21.94
WR_DELTA,25,59,29,30,961.01,-38.99,317.00,-0.1230,55.00,92.13
WR_DELTA,30,31,14,17,998.01,-1.99,139.00,-0.0143,21.00,34.04
WR_DELTA,35,11,6,5,1000.68,0.68,14.00,0.0486,3.00,4.00
WR_DELTA,40,8,3,5,1000.41,0.41,16.00,0.0256,5.00,7.08
WR_DELTA,45,3,1,2,998.64,-1.36,4.00,-0.3400,2.00,2.00
WR_DELTA,50,1,0,1,999.00,-1.00,1.00,-1.0000,1.00,1.00
WR_DELTA,75,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,125,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,150,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,250,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,350,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
