metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,6980,4848,2132,3117,2117,8222,0.2575,13,21
WR_DELTA,10,6969,4842,2127,3117,2117,8211,0.2578,13,21
WR_DELTA,15,6956,4835,2121,3113,2113,8201,0.2577,13,21
WR_DELTA,20,6941,4826,2115,3112,2112,8184,0.2581,13,21
WR_DELTA,25,6926,4816,2110,3105,2105,8140,0.2586,13,21
WR_DELTA,30,6909,4807,2102,3120,2120,8128,0.2608,13,21
WR_DELTA,35,6882,4792,2090,3122,2122,8091,0.2622,13,21
WR_DELTA,40,6828,4756,2072,3112,2112,8004,0.2639,13,21
WR_DELTA,45,6752,4710,2042,3116,2116,7917,0.2672,13,21
WR_DELTA,50,6684,4666,2018,3097,2097,7841,0.2674,13,21
WR_DELTA,75,6025,4286,1739,3004,2004,6984,0.2870,13,21
WR_DELTA,100,4827,3531,1296,2728,1728,5488,0.3149,13,21
WR_DELTA,125,3536,2641,895,2379,1379,3942,0.3499,13,20
WR_DELTA,150,2377,1838,539,2008,1008,2571,0.3919,8,12
WR_DELTA,200,875,718,157,1429,429,915,0.4688,5,7
WR_DELTA,250,274,233,41,1154,154,282,0.5474,2,3
WR_DELTA,300,70,62,8,1044,44,72,0.6179,2,2
WR_DELTA,350,20,20,0,1018,18,20,0.9000,1,0
WR_DELTA,400,3,3,0,1001,1,3,0.4667,1,0
