metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,79,36,43,0.00,-1000.00,2108.40,-0.4743,445.00,1204.40
WR_DELTA,10,72,33,39,0.00,-1000.00,1944.60,-0.5142,445.00,1155.60
WR_DELTA,15,68,31,37,0.00,-1000.00,1955.70,-0.5113,445.00,1156.70
WR_DELTA,20,66,30,36,0.00,-1000.00,1972.50,-0.5070,445.00,1151.50
WR_DELTA,25,67,31,36,0.00,-1000.00,2023.31,-0.4942,445.00,1146.00
WR_DELTA,30,59,26,33,0.00,-1000.00,2117.10,-0.4723,445.00,1128.10
WR_DELTA,35,56,24,32,0.00,-1000.00,2097.55,-0.4767,442.55,1118.55
WR_DELTA,40,55,23,32,0.00,-1000.00,2085.10,-0.4796,435.10,1111.10
WR_DELTA,45,52,21,31,0.00,-1000.00,1951.05,-0.5125,431.05,1107.05
WR_DELTA,50,5694,2966,2728,36879.35,35879.35,87641.75,0.4094,1885.00,3010.00
WR_DELTA,75,4093,2272,1821,19118.00,18118.00,46905.00,0.3863,720.00,1160.00
WR_DELTA,100,316,142,174,0.00,-1000.00,5670.20,-0.1764,720.00,1970.20
WR_DELTA,125,1718,1070,648,7613.90,6613.90,13935.00,0.4746,275.00,433.00
WR_DELTA,150,1021,681,340,5334.50,4334.50,7205.00,0.6016,105.00,151.75
WR_DELTA,200,326,243,83,2541.90,1541.90,1800.00,0.8566,25.00,35.00
WR_DELTA,250,98,76,22,1508.50,508.50,515.00,0.9874,15.00,20.00
WR_DELTA,300,26,22,4,1147.65,147.65,130.00,1.1358,5.00,5.00
WR_DELTA,350,8,8,0,1063.95,63.95,40.00,1.5988,5.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
