metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11469,8436,3033,6148,5148,66694,0.0772,350,715
WR_DELTA,10,11011,8155,2856,6269,5269,63928,0.0824,362,716
WR_DELTA,15,10521,7840,2681,6563,5563,60185,0.0924,275,440
WR_DELTA,20,10078,7537,2541,6427,5427,57875,0.0938,275,440
WR_DELTA,25,9582,7209,2373,6425,5425,54805,0.0990,275,440
WR_DELTA,30,9143,6909,2234,6528,5528,51500,0.1073,105,195
WR_DELTA,35,8683,6597,2086,6600,5600,48445,0.1156,105,165
WR_DELTA,40,8242,6300,1942,6505,5505,45770,0.1203,65,136
WR_DELTA,45,7780,5986,1794,6473,5473,43030,0.1272,65,140
WR_DELTA,50,7344,5686,1658,6478,5478,40165,0.1364,65,109
WR_DELTA,75,5492,4351,1141,5794,4794,29295,0.1637,65,103
WR_DELTA,100,3855,3130,725,4866,3866,20220,0.1912,25,52
WR_DELTA,125,2540,2095,445,3742,2742,13220,0.2074,25,48
WR_DELTA,150,1635,1372,263,2881,1881,8445,0.2228,15,40
WR_DELTA,200,582,505,77,1780,780,2970,0.2625,10,17
WR_DELTA,250,176,156,20,1241,241,890,0.2707,10,10
WR_DELTA,300,44,40,4,1070,70,220,0.3186,5,5
WR_DELTA,350,12,12,0,1026,26,60,0.4342,5,0
WR_DELTA,400,3,3,0,1007,7,15,0.4667,5,0
