metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,2870,1592,1278,13771.95,12771.95,36740.00,0.3476,720.00,1185.60
WR_DELTA,10,2863,1589,1274,13661.75,12661.75,36505.00,0.3468,720.00,1185.60
WR_DELTA,15,2854,1586,1268,13655.45,12655.45,36390.00,0.3478,720.00,1185.60
WR_DELTA,20,2848,1584,1264,13628.00,12628.00,36480.00,0.3462,720.00,1185.60
WR_DELTA,25,2839,1580,1259,13592.65,12592.65,36325.00,0.3467,720.00,1185.60
WR_DELTA,30,2833,1579,1254,13503.70,12503.70,35765.00,0.3496,720.00,1185.60
WR_DELTA,35,2822,1576,1246,13094.10,12094.10,34020.00,0.3555,720.00,1185.60
WR_DELTA,40,2796,1562,1234,13030.75,12030.75,34080.00,0.3530,720.00,1185.60
WR_DELTA,45,2763,1544,1219,12639.90,11639.90,32390.00,0.3594,445.00,727.00
WR_DELTA,50,2738,1531,1207,12522.25,11522.25,32090.00,0.3591,445.00,727.00
WR_DELTA,75,2435,1405,1030,10935.60,9935.60,23800.00,0.4175,445.00,702.00
WR_DELTA,100,1891,1134,757,8673.55,7673.55,16845.00,0.4555,445.00,695.00
WR_DELTA,125,1358,853,505,6364.70,5364.70,10245.00,0.5236,170.00,258.00
WR_DELTA,150,876,583,293,4683.50,3683.50,5740.00,0.6417,105.00,165.00
WR_DELTA,200,307,228,79,2440.80,1440.80,1685.00,0.8551,25.00,35.00
WR_DELTA,250,97,75,22,1503.00,503.00,510.00,0.9863,15.00,20.00
WR_DELTA,300,26,22,4,1147.65,147.65,130.00,1.1358,5.00,5.00
WR_DELTA,350,8,8,0,1063.95,63.95,40.00,1.5988,5.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
