metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,4,3,1,1000.80,0.80,20.00,0.0400,5.00,5.00
WR_DELTA,10,4,3,1,1000.80,0.80,20.00,0.0400,5.00,5.00
WR_DELTA,15,3,2,1,1000.40,0.40,15.00,0.0267,5.00,5.00
WR_DELTA,20,3,2,1,1000.40,0.40,15.00,0.0267,5.00,5.00
WR_DELTA,25,2,1,1,998.40,-1.60,10.00,-0.1600,5.00,5.00
WR_DELTA,30,2,1,1,998.40,-1.60,10.00,-0.1600,5.00,5.00
WR_DELTA,35,1,0,1,995.00,-5.00,5.00,-1.0000,5.00,5.00
WR_DELTA,40,1,0,1,995.00,-5.00,5.00,-1.0000,5.00,5.00
WR_DELTA,45,1,0,1,995.00,-5.00,5.00,-1.0000,5.00,5.00
WR_DELTA,50,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,75,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,100,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,125,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,150,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,200,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,250,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,300,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,350,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
WR_DELTA,400,0,0,0,1000.00,0.00,0.00,0.0000,0.00,0.00
