strategy_group,hero_filter,odds_condition,metric,delta_threshold,bets,wins,losses,win_pct,final_bank,profit,total_staked,roi,max_drawdown,max_stake
Flat100,none,any,WR_DELTA,5,108,54,54,50.00,0,-1000,10503,-0.0952,2188,100
Flat100,none,any,WR_DELTA,10,189,98,91,51.85,0,-1000,18760,-0.0533,2166,100
Flat100,none,any,WR_DELTA,15,189,98,91,51.85,0,-1000,18900,-0.0529,2428,100
Flat100,none,any,WR_DELTA,20,164,83,81,50.61,0,-1000,16312,-0.0613,2293,100
Flat100,none,any,WR_DELTA,25,171,87,84,50.88,0,-1000,16826,-0.0594,2206,100
Flat100,none,any,WR_DELTA,30,152,78,74,51.32,0,-1000,15089,-0.0663,1918,100
Flat100,none,any,WR_DELTA,35,159,82,77,51.57,0,-1000,15889,-0.0629,2018,100
Flat100,none,any,WR_DELTA,40,141,73,68,51.77,0,-1000,14032,-0.0713,1872,100
Flat100,none,any,WR_DELTA,45,137,70,67,51.09,0,-1000,13602,-0.0735,1972,100
Flat100,none,any,WR_DELTA,50,139,71,68,51.08,0,-1000,13860,-0.0722,2072,100
Flat100,none,any,WR_DELTA,75,117,60,57,51.28,0,-1000,11474,-0.0872,2145,100
Flat100,none,any,WR_DELTA,100,95,47,48,49.47,0,-1000,9466,-0.1056,2064,100
Flat100,none,any,WR_DELTA,125,200,107,93,53.50,0,-1000,19933,-0.0502,1924,100
Flat100,none,any,WR_DELTA,150,113,60,53,53.10,0,-1000,11267,-0.0888,1560,100
Flat100,none,any,WR_DELTA,200,1872,1478,394,78.95,74506,73506,187200,0.3927,1140,100
Flat100,none,any,WR_DELTA,250,744,600,144,80.65,31972,30972,74400,0.4163,902,100
Flat100,none,any,WR_DELTA,300,272,230,42,84.56,15425,14425,27200,0.5303,352,100
Flat100,none,any,WR_DELTA,350,78,67,11,85.90,5654,4654,7800,0.5967,239,100
Flat100,none,any,WR_DELTA,400,21,19,2,90.48,2178,1178,2100,0.5610,125,100
Flat100,none,underdog,WR_DELTA,5,183,71,112,38.80,0,-1000,18278,-0.0547,2030,100
Flat100,none,underdog,WR_DELTA,10,178,69,109,38.76,0,-1000,17753,-0.0563,2140,100
Flat100,none,underdog,WR_DELTA,15,188,73,115,38.83,0,-1000,18750,-0.0533,2151,100
Flat100,none,underdog,WR_DELTA,20,161,62,99,38.51,0,-1000,16097,-0.0621,2027,100
Flat100,none,underdog,WR_DELTA,25,181,71,110,39.23,0,-1000,17856,-0.0560,2131,100
Flat100,none,underdog,WR_DELTA,30,187,74,113,39.57,0,-1000,18684,-0.0535,1904,100
Flat100,none,underdog,WR_DELTA,35,220,87,133,39.55,0,-1000,21950,-0.0456,2304,100
Flat100,none,underdog,WR_DELTA,40,213,84,129,39.44,0,-1000,21244,-0.0471,2094,100
Flat100,none,underdog,WR_DELTA,45,200,79,121,39.50,0,-1000,19966,-0.0501,2130,100
Flat100,none,underdog,WR_DELTA,50,384,153,231,39.84,0,-1000,38360,-0.0261,2118,100
Flat100,none,underdog,WR_DELTA,75,142,55,87,38.73,0,-1000,14116,-0.0708,1958,100
Flat100,none,underdog,WR_DELTA,100,3350,1946,1404,58.09,145002,144002,335000,0.4299,1066,100
Flat100,none,underdog,WR_DELTA,125,2390,1443,947,60.38,115464,114464,239000,0.4789,1518,100
Flat100,none,underdog,WR_DELTA,150,114,44,70,38.60,0,-1000,11378,-0.0879,1826,100
Flat100,none,underdog,WR_DELTA,200,92,35,57,38.04,0,-1000,9143,-0.1094,1466,100
Flat100,none,underdog,WR_DELTA,250,263,183,80,69.58,19365,18365,26300,0.6983,600,100
Flat100,none,underdog,WR_DELTA,300,100,75,25,75.00,9943,8943,10000,0.8943,537,100
Flat100,none,underdog,WR_DELTA,350,33,26,7,78.79,4110,3110,3300,0.9424,300,100
Flat100,none,underdog,WR_DELTA,400,6,5,1,83.33,1674,674,600,1.1233,100,100
Flat100,none,favorite,WR_DELTA,5,69,39,30,56.52,0,-1000,6769,-0.1477,1263,100
Flat100,none,favorite,WR_DELTA,10,68,38,30,55.88,0,-1000,6492,-0.1540,1241,100
Flat100,none,favorite,WR_DELTA,15,144,88,56,61.11,0,-1000,14189,-0.0705,1303,100
Flat100,none,favorite,WR_DELTA,20,91,53,38,58.24,0,-1000,8935,-0.1119,1303,100
Flat100,none,favorite,WR_DELTA,25,110,68,42,61.82,0,-1000,10189,-0.0981,1303,100
Flat100,none,favorite,WR_DELTA,30,128,77,51,60.16,0,-1000,12755,-0.0784,1364,100
Flat100,none,favorite,WR_DELTA,35,126,76,50,60.32,0,-1000,12574,-0.0795,1364,100
Flat100,none,favorite,WR_DELTA,40,114,69,45,60.53,0,-1000,11064,-0.0904,1288,100
Flat100,none,favorite,WR_DELTA,45,78,45,33,57.69,0,-1000,7772,-0.1287,1288,100
Flat100,none,favorite,WR_DELTA,50,85,50,35,58.82,0,-1000,8213,-0.1218,1288,100
Flat100,none,favorite,WR_DELTA,75,72,41,31,56.94,0,-1000,7188,-0.1391,1158,100
Flat100,none,favorite,WR_DELTA,100,4873,3923,950,80.50,87881,86881,487288,0.1783,1205,100
Flat100,none,favorite,WR_DELTA,125,48,26,22,54.17,0,-1000,4713,-0.2122,1212,100
Flat100,none,favorite,WR_DELTA,150,2535,2118,417,83.55,55493,54493,253328,0.2151,1103,100
Flat100,none,favorite,WR_DELTA,200,1134,981,153,86.51,29563,28563,113400,0.2519,527,100
Flat100,none,favorite,WR_DELTA,250,456,399,57,87.50,12744,11744,45600,0.2575,410,100
