metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,108,54,54,0.00,-1000.00,10503.25,-0.0952,100.00,2188.00
WR_DELTA,10,189,98,91,0.00,-1000.00,18760.06,-0.0533,100.00,2166.00
WR_DELTA,15,189,98,91,0.00,-1000.00,18900.00,-0.0529,100.00,2428.00
WR_DELTA,20,164,83,81,0.00,-1000.00,16312.00,-0.0613,100.00,2293.00
WR_DELTA,25,171,87,84,0.00,-1000.00,16825.56,-0.0594,100.00,2206.00
WR_DELTA,30,152,78,74,0.00,-1000.00,15088.76,-0.0663,100.00,1918.00
WR_DELTA,35,159,82,77,0.00,-1000.00,15889.00,-0.0629,100.00,2018.00
WR_DELTA,40,141,73,68,0.00,-1000.00,14031.56,-0.0713,100.00,1872.00
WR_DELTA,45,137,70,67,0.00,-1000.00,13602.00,-0.0735,100.00,1972.00
WR_DELTA,50,139,71,68,0.00,-1000.00,13859.70,-0.0722,100.00,2072.00
WR_DELTA,75,117,60,57,0.00,-1000.00,11473.74,-0.0872,100.00,2145.00
WR_DELTA,100,95,47,48,0.00,-1000.00,9466.00,-0.1056,100.00,2064.00
WR_DELTA,125,200,107,93,0.00,-1000.00,19933.00,-0.0502,100.00,1924.00
WR_DELTA,150,113,60,53,0.00,-1000.00,11267.00,-0.0888,100.00,1560.00
WR_DELTA,200,1872,1478,394,74506.00,73506.00,187200.00,0.3927,100.00,1140.00
WR_DELTA,250,744,600,144,31972.00,30972.00,74400.00,0.4163,100.00,902.00
WR_DELTA,300,272,230,42,15425.00,14425.00,27200.00,0.5303,100.00,352.00
WR_DELTA,350,78,67,11,5654.00,4654.00,7800.00,0.5967,100.00,239.00
WR_DELTA,400,21,19,2,2178.00,1178.00,2100.00,0.5610,100.00,125.00
