metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,183,71,112,0.00,-1000.00,18278.00,-0.0547,100.00,2030.00
WR_DELTA,10,178,69,109,0.00,-1000.00,17753.00,-0.0563,100.00,2140.00
WR_DELTA,15,188,73,115,0.00,-1000.00,18749.54,-0.0533,100.00,2151.00
WR_DELTA,20,161,62,99,0.00,-1000.00,16097.00,-0.0621,100.00,2027.00
WR_DELTA,25,181,71,110,0.00,-1000.00,17855.99,-0.0560,100.00,2131.00
WR_DELTA,30,187,74,113,0.00,-1000.00,18684.00,-0.0535,100.00,1904.00
WR_DELTA,35,220,87,133,0.00,-1000.00,21950.00,-0.0456,100.00,2304.00
WR_DELTA,40,213,84,129,0.00,-1000.00,21244.00,-0.0471,100.00,2094.00
WR_DELTA,45,200,79,121,0.00,-1000.00,19966.00,-0.0501,100.00,2130.00
WR_DELTA,50,384,153,231,0.00,-1000.00,38359.65,-0.0261,100.00,2118.00
WR_DELTA,75,142,55,87,0.00,-1000.00,14116.00,-0.0708,100.00,1958.00
WR_DELTA,100,3350,1946,1404,145002.00,144002.00,335000.00,0.4299,100.00,1066.00
WR_DELTA,125,2390,1443,947,115464.00,114464.00,239000.00,0.4789,100.00,1518.00
WR_DELTA,150,114,44,70,0.00,-1000.00,11378.00,-0.0879,100.00,1826.00
WR_DELTA,200,92,35,57,0.00,-1000.00,9143.22,-0.1094,100.00,1466.00
WR_DELTA,250,263,183,80,19365.00,18365.00,26300.00,0.6983,100.00,600.00
WR_DELTA,300,100,75,25,9943.00,8943.00,10000.00,0.8943,100.00,537.00
WR_DELTA,350,33,26,7,4110.00,3110.00,3300.00,0.9424,100.00,300.00
WR_DELTA,400,6,5,1,1674.00,674.00,600.00,1.1233,100.00,100.00
