metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,69,39,30,0.00,-1000.00,6769.10,-0.1477,100.00,1263.00
WR_DELTA,10,68,38,30,0.00,-1000.00,6492.26,-0.1540,100.00,1241.00
WR_DELTA,15,144,88,56,0.00,-1000.00,14188.53,-0.0705,100.00,1303.00
WR_DELTA,20,91,53,38,0.00,-1000.00,8934.84,-0.1119,100.00,1303.00
WR_DELTA,25,110,68,42,0.00,-1000.00,10188.82,-0.0981,100.00,1303.00
WR_DELTA,30,128,77,51,0.00,-1000.00,12755.00,-0.0784,100.00,1364.00
WR_DELTA,35,126,76,50,0.00,-1000.00,12574.00,-0.0795,100.00,1364.00
WR_DELTA,40,114,69,45,0.00,-1000.00,11063.93,-0.0904,100.00,1288.00
WR_DELTA,45,78,45,33,0.00,-1000.00,7771.60,-0.1287,100.00,1288.00
WR_DELTA,50,85,50,35,0.00,-1000.00,8213.40,-0.1218,100.00,1288.00
WR_DELTA,75,72,41,31,0.00,-1000.00,7188.00,-0.1391,100.00,1158.00
WR_DELTA,100,4873,3923,950,87881.21,86881.21,487288.40,0.1783,100.00,1205.00
WR_DELTA,125,48,26,22,0.00,-1000.00,4713.08,-0.2122,100.00,1212.00
WR_DELTA,150,2535,2118,417,55493.30,54493.30,253328.25,0.2151,100.00,1103.00
WR_DELTA,200,1134,981,153,29563.00,28563.00,113400.00,0.2519,100.00,527.00
WR_DELTA,250,456,399,57,12744.00,11744.00,45600.00,0.2575,100.00,410.00
WR_DELTA,300,162,147,15,5990.00,4990.00,16200.00,0.3080,100.00,238.00
WR_DELTA,350,44,40,4,2457.00,1457.00,4400.00,0.3311,100.00,200.00
WR_DELTA,400,15,14,1,1504.00,504.00,1500.00,0.3360,100.00,100.00
