metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,21729,13744,7985,30679242.00,30678242.00,189869407.93,0.1616,10000.00,188100.00
WR_DELTA,10,20998,13379,7619,31293175.41,31292175.41,183827615.66,0.1702,10000.00,191200.00
WR_DELTA,15,20191,12958,7233,31495209.01,31494209.01,176689530.70,0.1782,10000.00,161200.00
WR_DELTA,20,19381,12523,6858,31666850.12,31665850.12,169120252.61,0.1872,10000.00,156300.00
WR_DELTA,25,18609,12104,6505,31644453.15,31643453.15,161893003.18,0.1955,10000.00,162500.00
WR_DELTA,30,17839,11664,6175,31304673.23,31303673.23,155275570.71,0.2016,10000.00,142500.00
WR_DELTA,35,17132,11284,5848,31387629.34,31386629.34,149155548.62,0.2104,10000.00,137700.00
WR_DELTA,40,16351,10844,5507,31285369.05,31284369.05,142265915.29,0.2199,10000.00,118000.00
WR_DELTA,45,15559,10399,5160,31111167.59,31110167.59,135481229.07,0.2296,10000.00,128500.00
WR_DELTA,50,14825,9978,4847,30673325.74,30672325.74,129465613.32,0.2369,10000.00,126400.00
WR_DELTA,75,11448,7967,3481,27845572.17,27844572.17,99870568.33,0.2788,10000.00,111100.00
WR_DELTA,100,8528,6061,2467,22438899.81,22437899.81,73803374.10,0.3040,10000.00,132900.00
WR_DELTA,125,6147,4468,1679,17600201.69,17599201.69,52141095.81,0.3375,10000.00,165600.00
WR_DELTA,150,4276,3212,1064,13271000.09,13270000.09,35462053.02,0.3742,10000.00,118100.00
WR_DELTA,200,1872,1478,394,6377473.99,6376473.99,14646000.79,0.4354,10000.00,78300.00
WR_DELTA,250,744,600,144,2152127.37,2151127.37,4274978.49,0.5032,10000.00,20000.00
WR_DELTA,300,272,230,42,525481.71,524481.71,747600.83,0.7016,10000.00,10000.00
WR_DELTA,350,78,67,11,9262.36,8262.36,13488.97,0.6125,448.54,422.40
WR_DELTA,400,21,19,2,1763.48,763.48,1310.75,0.5825,85.40,63.41
