metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,9271,4609,4662,19390297.10,19389297.10,79237776.22,0.2447,10000.00,167200.00
WR_DELTA,10,8916,4471,4445,19577343.14,19576343.14,76667892.70,0.2553,10000.00,167200.00
WR_DELTA,15,8525,4326,4199,19831974.78,19830974.78,73219027.04,0.2708,10000.00,173900.00
WR_DELTA,20,8160,4183,3977,19969536.55,19968536.55,69720929.96,0.2864,10000.00,162400.00
WR_DELTA,25,7809,4033,3776,19798715.49,19797715.49,66267994.40,0.2988,10000.00,150100.00
WR_DELTA,30,7466,3881,3585,19485108.63,19484108.63,63594711.58,0.3064,10000.00,150400.00
WR_DELTA,35,7130,3734,3396,19288092.49,19287092.49,60556908.75,0.3185,10000.00,135700.00
WR_DELTA,40,6778,3586,3192,19242297.93,19241297.93,57544337.41,0.3344,10000.00,169800.00
WR_DELTA,45,6400,3427,2973,19173819.30,19172819.30,54513978.02,0.3517,10000.00,169800.00
WR_DELTA,50,6071,3283,2788,18843328.03,18842328.03,52014546.82,0.3623,10000.00,149800.00
WR_DELTA,75,4597,2597,2000,16731934.09,16730934.09,39189461.02,0.4269,10000.00,119800.00
WR_DELTA,100,3350,1946,1404,13290459.25,13289459.25,28283283.06,0.4699,10000.00,106600.00
WR_DELTA,125,2390,1443,947,10360337.04,10359337.04,19403258.28,0.5339,10000.00,120000.00
WR_DELTA,150,1592,998,594,7529621.96,7528621.96,12358770.00,0.6092,10000.00,111100.00
WR_DELTA,200,684,461,223,3368358.19,3367358.19,4112931.04,0.8187,10000.00,50000.00
WR_DELTA,250,263,183,80,895071.25,894071.25,975353.07,0.9167,10000.00,30000.00
WR_DELTA,300,100,75,25,66874.01,65874.01,54546.37,1.2077,3012.34,2985.77
WR_DELTA,350,33,26,7,4361.87,3361.87,3427.19,0.9809,216.17,216.17
WR_DELTA,400,6,5,1,1377.77,377.77,331.35,1.1401,64.87,50.00
