metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,11667,8690,2977,9942748.21,9941748.21,98229651.45,0.1012,10000.00,182600.00
WR_DELTA,10,11313,8470,2843,10301217.36,10300217.36,95633172.86,0.1077,10000.00,152600.00
WR_DELTA,15,10928,8210,2718,10241045.18,10240045.18,92267515.99,0.1110,10000.00,132600.00
WR_DELTA,20,10514,7937,2577,10325060.13,10324060.13,88879447.12,0.1162,10000.00,136400.00
WR_DELTA,25,10131,7692,2439,10550908.63,10549908.63,85913793.97,0.1228,10000.00,138000.00
WR_DELTA,30,9732,7420,2312,10546719.98,10545719.98,81895013.53,0.1288,10000.00,118400.00
WR_DELTA,35,9388,7198,2190,10755006.50,10754006.50,79258419.73,0.1357,10000.00,121200.00
WR_DELTA,40,8984,6919,2065,10691593.48,10690593.48,75522187.38,0.1416,10000.00,117700.00
WR_DELTA,45,8595,6642,1953,10518025.20,10517025.20,72215235.49,0.1456,10000.00,111300.00
WR_DELTA,50,8225,6380,1845,10332768.58,10331768.58,68821163.16,0.1501,10000.00,121400.00
WR_DELTA,75,6453,5123,1330,9582459.73,9581459.73,53754294.82,0.1782,10000.00,116800.00
WR_DELTA,100,4873,3923,950,7713654.94,7712654.94,39406773.94,0.1957,10000.00,115200.00
WR_DELTA,125,3546,2888,658,5873766.86,5872766.86,28084350.81,0.2091,10000.00,89000.00
WR_DELTA,150,2535,2118,417,4531480.01,4530480.01,19875616.32,0.2279,10000.00,64500.00
WR_DELTA,200,1134,981,153,1945184.55,1944184.55,7042510.44,0.2761,10000.00,42500.00
WR_DELTA,250,456,399,57,278650.32,277650.32,874015.60,0.3177,10000.00,15400.00
WR_DELTA,300,162,147,15,11387.34,10387.34,28639.06,0.3627,551.45,233.60
WR_DELTA,350,44,40,4,2034.96,1034.96,3049.69,0.3394,98.55,97.50
WR_DELTA,400,15,14,1,1279.95,279.95,811.60,0.3449,61.98,50.00
